AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8698;359.8698;273.3849;273.3849;0.1473;0.1473; ; ; ; ; ; ;616031;71.80151;4557.62;80.8398;-87.5186;1.1356;1.0509;-75.4751;-84.9833;352.4109;352.5094;268.4098;77.7312;0.8053;359.9255;;;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.0000;0.0160;-0.0164
0.0000;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1206;-75.1206;359.8693;359.8693;273.3889;273.3889;0.1463;0.1463;0.0006;-0.0002;-0.0002;-0.0014;-0.0014;0.0006;616036;67.79395;4557.70;80.8398;-87.5186;1.1356;1.0508;-75.4751;-84.9833;352.4102;352.5086;268.4132;77.7306;0.8044;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.0796;0.0160;-0.0164
0.0000;0.0000;False;False;81.0093;81.0093;-0.0026;-0.0026;-75.1207;-75.1207;359.8690;359.8690;273.3941;273.3941;0.1460;0.1460;0.0011;-0.0002;-0.0002;-0.0014;-0.0014;0.0011;616041;70.49606;4557.77;80.8398;-87.5186;1.1356;1.0508;-75.4752;-84.9833;352.4098;352.5081;268.4187;77.7307;0.8041;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.1489;0.0160;-0.0164
0.0000;0.0000;False;False;81.0094;81.0094;-0.0027;-0.0027;-75.1208;-75.1208;359.8689;359.8689;273.3965;273.3965;0.1461;0.1461;0.0026;-0.0001;-0.0001;-0.0016;-0.0016;0.0026;616046;71.44741;4557.84;80.8399;-87.5186;1.1356;1.0508;-75.4753;-84.9833;352.4097;352.5078;268.4205;77.7302;0.8041;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.2188;0.0160;-0.0164
0.0000;0.0000;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1209;-75.1209;359.8686;359.8686;273.4010;273.4010;0.1461;0.1461;0.0020;-0.0001;-0.0001;-0.0015;-0.0015;0.0020;616051;71.60796;4557.91;80.8400;-87.5185;1.1356;1.0508;-75.4754;-84.9833;352.4094;352.5074;268.4256;77.7298;0.8042;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.2, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.2886;0.0160;-0.0164
0.0000;0.0000;False;False;81.0097;81.0097;-0.0027;-0.0027;-75.1210;-75.1210;359.8685;359.8685;273.4041;273.4041;0.1462;0.1462;0.0034;-0.0001;-0.0001;-0.0016;-0.0016;0.0034;616056;71.70173;4557.98;80.8401;-87.5185;1.1356;1.0508;-75.4755;-84.9833;352.4093;352.5074;268.4283;77.7286;0.8043;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.2, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.3584;0.0160;-0.0164
0.0000;0.0000;False;False;81.0099;81.0099;-0.0027;-0.0027;-75.1211;-75.1211;359.8684;359.8684;273.4070;273.4070;0.1463;0.1463;0.0030;0.0000;0.0000;-0.0016;-0.0016;0.0030;616061;71.89363;4558.04;80.8403;-87.5185;1.1356;1.0508;-75.4756;-84.9833;352.4092;352.5073;268.4318;77.7286;0.8044;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.2, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.4277;0.0160;-0.0164
0.0000;0.0000;False;False;81.0102;81.0102;-0.0027;-0.0027;-75.1212;-75.1212;359.8684;359.8684;273.4095;273.4095;0.1463;0.1463;0.0038;0.0000;0.0000;-0.0016;-0.0016;0.0038;616066;68.53294;4558.12;80.8406;-87.5184;1.1356;1.0508;-75.4757;-84.9833;352.4093;352.5072;268.4339;77.7282;0.8044;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.2, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.5005;0.0160;-0.0164
0.0000;0.0000;False;False;81.0105;81.0105;-0.0027;-0.0027;-75.1213;-75.1213;359.8684;359.8684;273.4134;273.4134;0.1463;0.1463;0.0034;0.0000;0.0000;-0.0016;-0.0016;0.0034;616071;70.47584;4558.19;80.8408;-87.5185;1.1356;1.0508;-75.4758;-84.9833;352.4093;352.5075;268.4375;77.7270;0.8044;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.2, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.5708;0.0160;-0.0164
0.0000;0.0000;False;False;81.0107;81.0107;-0.0027;-0.0027;-75.1214;-75.1214;359.8682;359.8682;273.4185;273.4185;0.1463;0.1463;0.0042;0.0000;0.0000;-0.0017;-0.0017;0.0042;616076;71.40043;4558.26;80.8411;-87.5185;1.1356;1.0508;-75.4759;-84.9833;352.4091;352.5075;268.4427;77.7260;0.8044;359.9255;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.2, -0.3)_(0.5, 0.5, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(0.2, 0.6, 0.5, -0.6)_0.9546427_System.String[];0.6401;0.0160;-0.0164
