AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.1329;0.2142;False;False;82.2000;82.2000;-0.0139;-0.0139;25.2000;25.2000;0.0007;0.0007;208.4238;208.4238;0.0000;0.0000; ; ; ; ; ; ;597330;71.7942;4292.41;82.4458;107.6085;1.1249;1.0512;24.8955;69.3703;352.5284;352.5011;203.4695;217.8593;0.6458;359.9259;;;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.5, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.0000;0.0018;-0.0306
0.1566;0.2299;False;False;82.1995;82.1995;-0.0139;-0.0139;25.1991;25.1991;-0.0021;-0.0021;208.4221;208.4221;0.0000;0.0000;-0.0123;0.0000;0.0000;-0.0226;-0.0226;-0.0123;597335;67.82028;4292.49;82.4455;107.6078;1.1249;1.0512;24.8949;69.3694;352.5264;352.4976;203.4680;217.8585;0.6460;359.9257;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.0801;0.0018;-0.0302
0.1880;0.2579;False;False;82.1982;82.1982;-0.0139;-0.0139;25.1966;25.1966;359.9933;359.9933;208.4221;208.4221;0.0000;0.0000;-0.0277;-0.0001;-0.0001;-0.0511;-0.0511;-0.0277;597340;70.45557;4292.56;82.4443;107.6056;1.1249;1.0512;24.8929;69.3664;352.5220;352.4908;203.4679;217.8567;0.6464;359.9254;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.1494;0.0018;-0.0281
0.2336;0.2807;False;False;82.1958;82.1958;-0.0139;-0.0139;25.1922;25.1922;359.9875;359.9875;208.4209;208.4209;0.0000;0.0000;-0.0418;-0.0001;-0.0001;-0.0772;-0.0772;-0.0418;597345;71.48679;4292.63;82.4423;107.6018;1.1249;1.0512;24.8890;69.3612;352.5165;352.4834;203.4668;217.8519;0.6469;359.9251;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.2188;0.0018;-0.0251
0.2736;0.2941;False;False;82.1921;82.1921;-0.0139;-0.0139;25.1854;25.1854;359.9811;359.9811;208.4204;208.4204;0.0000;0.0000;-0.0655;-0.0001;-0.0001;-0.1208;-0.1208;-0.0655;597350;69.8955;4292.70;82.4390;107.5961;1.1249;1.0512;24.8830;69.3535;352.5105;352.4762;203.4659;217.8469;0.6474;359.9250;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.2905;0.0018;-0.0230
0.2938;0.3020;False;False;82.1870;82.1870;-0.0140;-0.0140;25.1759;25.1759;359.9748;359.9748;208.4208;208.4208;0.0001;0.0001;-0.0844;-0.0001;-0.0001;-0.1557;-0.1557;-0.0844;597355;71.12628;4292.77;82.4341;107.5881;1.1249;1.0512;24.8740;69.3429;352.5038;352.4696;203.4660;217.8414;0.6480;359.9248;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.3599;0.0018;-0.0229
0.3019;0.3067;False;False;82.1803;82.1803;-0.0140;-0.0140;25.1636;25.1636;359.9690;359.9690;208.4212;208.4212;0.0001;0.0001;-0.1104;-0.0001;-0.0001;-0.2037;-0.2037;-0.1104;597360;71.42368;4292.84;82.4278;107.5783;1.1250;1.0512;24.8623;69.3297;352.4979;352.4646;203.4664;217.8349;0.6486;359.9247;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.4297;0.0018;-0.0229
0.3112;0.3106;False;False;82.1719;82.1719;-0.0140;-0.0140;25.1482;25.1482;359.9640;359.9640;208.4218;208.4218;0.0001;0.0001;-0.1303;-0.0001;-0.0001;-0.2404;-0.2404;-0.1303;597365;71.57885;4292.91;82.4199;107.5665;1.1250;1.0512;24.8477;69.3138;352.4928;352.4606;203.4669;217.8271;0.6490;359.9246;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.4995;0.0018;-0.0229
0.3319;0.3155;False;False;82.1620;82.1620;-0.0140;-0.0140;25.1299;25.1299;359.9600;359.9600;208.4224;208.4224;0.0001;0.0001;-0.1581;-0.0001;-0.0001;-0.2917;-0.2917;-0.1581;597370;71.5725;4292.98;82.4103;107.5526;1.1250;1.0512;24.8300;69.2952;352.4886;352.4577;203.4675;217.8181;0.6494;359.9244;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.5693;0.0018;-0.0229
0.3676;0.3206;False;False;82.1503;82.1503;-0.0140;-0.0140;25.1082;25.1082;359.9564;359.9564;208.4232;208.4232;0.0001;0.0001;-0.1808;-0.0001;-0.0001;-0.3334;-0.3334;-0.1808;597375;71.47498;4293.05;82.3989;107.5366;1.1250;1.0512;24.8091;69.2737;352.4850;352.4555;203.4682;217.8078;0.6497;359.9243;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9751114_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9546427_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.4, 0.6)_0.9751114_System.String[];HandRight_(0.1, -0.2, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9546427_System.String[];0.6392;0.0018;-0.0229
