AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0426;0.0426;-65.0999;-65.0999;359.9927;359.9927;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;588759;71.61886;3454.91;-86.9535;54.4022;1.1923;1.1963;-65.0011;77.3025;352.5508;352.5582;6.8354;195.4021;359.0451;358.9393;;;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.5, 0.0)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.1, -0.4, -0.3, 0.9)_0.9347051_System.String[];0.0000;0.0037;-0.0258
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0442;0.0442;-65.0999;-65.0999;0.0011;0.0011;359.5104;359.5104;0.0000;0.0000;0.0000;0.0189;0.0189;-0.0002;-0.0002;0.0000;588763;65.81968;3454.97;-86.9535;54.4021;1.1941;1.2003;-65.0009;77.3022;352.5604;352.5735;6.8359;195.4019;359.0464;358.9407;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.5, 0.0)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(0.1, -0.2, -0.4)_(0.2, -0.4, -0.3, 0.9)_0.9347051_System.String[];0.0679;0.0037;-0.0259
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0452;0.0452;-65.1000;-65.1000;0.0055;0.0055;359.5114;359.5114;0.0000;0.0000;0.0000;0.0096;0.0096;-0.0016;-0.0016;0.0000;588768;69.78688;3455.04;-86.9535;54.4021;1.1952;1.2028;-65.0009;77.3020;352.5654;352.5818;6.8367;195.4023;359.0470;358.9414;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.5, 0.0)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(0.0, -0.2, -0.4)_(0.2, -0.4, -0.2, 0.9)_0.9347051_System.String[];0.1375;0.0037;-0.0233
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0458;0.0458;-65.1000;-65.1000;0.0067;0.0067;359.5121;359.5121;0.0000;0.0000;0.0000;0.0055;0.0055;0.0005;0.0005;0.0000;588773;71.19633;3455.11;-86.9535;54.4021;1.1958;1.2042;-65.0009;77.3020;352.5672;352.5852;6.8375;195.4009;359.0472;358.9415;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.5, -0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(0.0, -0.2, -0.4)_(0.2, -0.3, -0.2, 0.9)_0.9347051_System.String[];0.2070;0.0037;-0.0232
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0460;0.0460;-65.1000;-65.1000;0.0064;0.0064;359.5117;359.5117;0.0000;0.0000;0.0000;0.0023;0.0023;0.0013;0.0013;0.0000;588778;71.42097;3455.18;-86.9535;54.4020;1.1961;1.2050;-65.0009;77.3019;352.5670;352.5854;6.8375;195.4012;359.0472;358.9413;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.4, -0.5, 0.0)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(0.0, -0.2, -0.4)_(0.3, -0.4, -0.1, 0.9)_0.9347051_System.String[];0.2769;0.0037;-0.0261
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0053;0.0053;359.5119;359.5119;0.0000;0.0000;0.0000;0.0010;0.0010;0.0016;0.0016;0.0000;588783;71.80944;3455.25;-86.9535;54.4020;1.1962;1.2054;-65.0008;77.3019;352.5660;352.5842;6.8379;195.4036;359.0471;358.9410;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.6, -0.4, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(0.0, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.3464;0.0037;-0.0346
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0043;0.0043;359.5132;359.5132;0.0000;0.0000;0.0000;0.0001;0.0001;0.0014;0.0014;0.0000;588788;71.87295;3455.32;-86.9535;54.4020;1.1963;1.2056;-65.0008;77.3019;352.5650;352.5826;6.8381;195.4020;359.0469;358.9407;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.2, -0.3, -0.4)_(0.7, 0.6, -0.4, 0.0)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.4160;0.0037;-0.0391
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0033;0.0033;359.5129;359.5129;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0002;0.0002;0.0000;588793;71.78165;3455.39;-86.9535;54.4020;1.1963;1.2056;-65.0008;77.3019;352.5640;352.5809;6.8389;195.4038;359.0468;358.9404;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.7, -0.2, -0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.4858;0.0037;-0.0416
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0024;0.0024;359.5107;359.5107;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0002;0.0002;0.0000;588798;69.00693;3455.46;-86.9535;54.4020;1.1963;1.2056;-65.0008;77.3019;352.5631;352.5796;6.8363;195.4036;359.0467;358.9402;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.2)_(0.7, 0.7, -0.1, 0.0)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.5588;0.0037;-0.0418
0.0024;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0998;-65.0998;0.0018;0.0018;359.5123;359.5123;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0005;-0.0005;0.0000;588803;70.92235;3455.53;-86.9535;54.4020;1.1963;1.2056;-65.0008;77.3019;352.5624;352.5783;6.8381;195.4045;359.0466;358.9399;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.6284;0.0037;-0.0418
0.0531;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0015;0.0015;359.5123;359.5123;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0027;0.0027;0.0000;588808;71.38422;3455.60;-86.9535;54.4020;1.1962;1.2056;-65.0008;77.3019;352.5622;352.5774;6.8382;195.4066;359.0466;358.9398;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.6985;0.0037;-0.0418
0.1020;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0992;-65.0992;-0.0004;-0.0004;359.5112;359.5112;0.0000;0.0000;-0.0001;-0.0002;-0.0002;0.0161;0.0161;-0.0001;588813;71.71343;3455.67;-86.9535;54.4020;1.1962;1.2056;-65.0004;77.3019;352.5607;352.5768;6.8366;195.4067;359.0464;358.9397;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.7681;0.0037;-0.0418
0.1317;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0975;-65.0975;-0.0036;-0.0036;359.5114;359.5114;0.0000;0.0000;-0.0002;-0.0002;-0.0002;0.0355;0.0355;-0.0002;588818;71.9073;3455.74;-86.9535;54.4020;1.1962;1.2056;-64.9990;77.3019;352.5577;352.5762;6.8367;195.4072;359.0460;358.9396;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.8374;0.0037;-0.0410
0.1521;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0943;-65.0943;359.9924;359.9924;359.5110;359.5110;0.0000;0.0000;-0.0004;-0.0001;-0.0001;0.0573;0.0573;-0.0004;588823;71.90563;3455.81;-86.9536;54.4020;1.1962;1.2056;-64.9962;77.3018;352.5538;352.5758;6.8371;195.4085;359.0455;358.9395;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.9070;0.0037;-0.0396
0.1669;0.0000;False;False;-86.5001;-86.5001;0.0461;0.0461;-65.0895;-65.0895;359.9881;359.9881;359.5107;359.5107;0.0001;0.0001;-0.0006;-0.0001;-0.0001;0.0855;0.0855;-0.0006;588828;71.9683;3455.88;-86.9536;54.4020;1.1962;1.2056;-64.9918;77.3017;352.5496;352.5756;6.8359;195.4084;359.0450;358.9395;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];0.9763;0.0034;-0.0371
0.1766;0.0000;False;False;-86.5001;-86.5001;0.0461;0.0461;-65.0827;-65.0827;359.9845;359.9845;359.5107;359.5107;0.0001;0.0001;-0.0008;-0.0001;-0.0001;0.1106;0.1106;-0.0008;588833;71.84825;3455.95;-86.9536;54.4020;1.1962;1.2055;-64.9855;77.3017;352.5459;352.5755;6.8370;195.4074;359.0445;358.9395;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];1.0461;0.0021;-0.0329
0.1823;0.0000;False;False;-86.5002;-86.5002;0.0461;0.0461;-65.0740;-65.0740;359.9808;359.9808;359.5085;359.5085;0.0000;0.0000;-0.0012;-0.0001;-0.0001;0.1446;0.1446;-0.0012;588838;71.91609;3456.02;-86.9537;54.4020;1.1962;1.2055;-64.9773;77.3016;352.5422;352.5757;6.8345;195.4091;359.0440;358.9395;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];1.1155;-0.0007;-0.0293
0.1856;0.0000;False;False;-86.5003;-86.5003;0.0461;0.0461;-65.0632;-65.0632;359.9779;359.9779;359.5081;359.5081;-0.0001;-0.0001;-0.0017;-0.0001;-0.0001;0.1699;0.1699;-0.0017;588843;71.74997;3456.09;-86.9538;54.4020;1.1962;1.2055;-64.9669;77.3016;352.5392;352.5757;6.8343;195.4093;359.0435;358.9395;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.5, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];1.1855;-0.0049;-0.0269
0.1876;0.0000;False;False;-86.5004;-86.5004;0.0461;0.0461;-65.0504;-65.0504;359.9756;359.9756;359.5069;359.5069;-0.0003;-0.0003;-0.0022;-0.0001;-0.0001;0.1950;0.1950;-0.0022;588848;71.91718;3456.16;-86.9539;54.4020;1.1962;1.2055;-64.9546;77.3016;352.5367;352.5760;6.8333;195.4111;359.0431;358.9395;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9408216_System.String[];HandLeft_(-0.1, -0.2, -0.1)_(0.8, 0.7, -0.1, 0.1)_0.9347051_System.String[];HandRight_(0.2, -0.3, -0.3)_(-0.2, -0.6, -0.4, 0.6)_0.9408216_System.String[];HandRight_(-0.1, -0.2, -0.4)_(0.2, -0.4, 0.0, 0.9)_0.9347051_System.String[];1.2549;-0.0100;-0.0249
