AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0455;0.0455;-65.1000;-65.1000;0.0061;0.0061;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;95733;71.94609;948.11;-88.3900;54.3378;1.2808;1.1949;-64.2374;77.2622;352.5913;352.5007;8.2208;185.9489;358.8681;0.1713;;;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.2, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.0000;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0459;0.0459;-65.1000;-65.1000;0.0067;0.0067;359.5072;359.5072;0.0000;0.0000;0.0000;0.0044;0.0044;-0.0008;-0.0008;0.0000;95737;66.38059;948.18;-88.3900;54.3377;1.2813;1.1974;-64.2374;77.2621;352.5921;352.5088;8.2186;185.9495;358.8683;0.1706;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.2, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.0670;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.1000;-65.1000;0.0061;0.0061;359.5087;359.5087;0.0000;0.0000;0.0000;0.0018;0.0018;0.0004;0.0004;0.0000;95742;70.05334;948.25;-88.3900;54.3377;1.2815;1.1988;-64.2374;77.2620;352.5918;352.5121;8.2195;185.9499;358.8682;0.1702;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.1365;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0049;0.0049;359.5092;359.5092;0.0000;0.0000;0.0000;0.0007;0.0007;0.0001;0.0001;0.0000;95747;71.19327;948.32;-88.3900;54.3377;1.2816;1.1996;-64.2374;77.2619;352.5906;352.5126;8.2202;185.9520;358.8680;0.1699;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.2061;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.1000;-65.1000;0.0041;0.0041;359.5078;359.5078;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0006;-0.0006;0.0000;95752;71.68298;948.39;-88.3900;54.3377;1.2816;1.2001;-64.2375;77.2620;352.5898;352.5115;8.2193;185.9518;358.8679;0.1698;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.2757;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.1000;-65.1000;0.0030;0.0030;359.5081;359.5081;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0006;-0.0006;0.0000;95757;71.58358;948.46;-88.3900;54.3377;1.2817;1.2002;-64.2375;77.2619;352.5887;352.5098;8.2188;185.9521;358.8677;0.1697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.3457;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0462;0.0462;-65.0999;-65.0999;0.0021;0.0021;359.5086;359.5086;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0014;0.0014;0.0000;95762;71.5599;948.53;-88.3900;54.3377;1.2817;1.2003;-64.2374;77.2620;352.5878;352.5082;8.2197;185.9513;358.8676;0.1697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.4155;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0017;0.0017;359.5108;359.5108;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0011;-0.0011;0.0000;95767;71.85523;948.60;-88.3900;54.3377;1.2817;1.2003;-64.2374;77.2620;352.5872;352.5066;8.2218;185.9519;358.8675;0.1697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.2, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.4850;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0014;0.0014;359.5117;359.5117;0.0000;0.0000;0.0000;-0.0002;-0.0002;-0.0010;-0.0010;0.0000;95772;71.77894;948.67;-88.3900;54.3377;1.2816;1.2003;-64.2374;77.2620;352.5870;352.5053;8.2228;185.9516;358.8675;0.1697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.7)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.5546;-0.0184;-0.0067
0.0000;0.0000;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0010;0.0010;359.5124;359.5124;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0013;0.0013;0.0000;95777;71.87244;948.74;-88.3899;54.3377;1.2816;1.2003;-64.2374;77.2620;352.5867;352.5043;8.2233;185.9522;358.8674;0.1697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.4, -0.3, 0.3)_(0.5, 0.5, -0.7, 0.1)_0.9561927_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.2)_0.9267229_System.String[];HandRight_(1.7, -0.3, 0.2)_(0.1, -0.6, -0.4, 0.6)_0.9561927_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.7, -0.5, 0.5)_0.9267229_System.String[];0.6241;-0.0204;-0.0067
