AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
-0.6992;0.0082;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0018;0.0018;359.5096;359.5096;0.0000;0.0000; ; ; ; ; ; ;156933;71.83525;2173.82;-88.5270;54.3169;1.2415;1.1875;-64.7660;77.3023;352.5349;352.5109;354.1044;184.6778;0.7043;0.3354;;;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.4, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.0000;0.0037;-0.0217
-0.6992;0.0095;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0013;0.0013;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;156937;61.80596;2173.90;-88.5270;54.3169;1.2415;1.1875;-64.7660;77.3022;352.5344;352.5097;354.1044;184.6777;0.7044;0.3355;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.0776;0.0037;-0.0217
-0.6992;0.0116;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0011;0.0011;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;156942;68.15194;2173.97;-88.5270;54.3169;1.2415;1.1874;-64.7660;77.3022;352.5341;352.5091;354.1044;184.6767;0.7044;0.3355;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.1475;0.0037;-0.0217
-0.6992;0.0250;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0009;0.0009;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;156947;70.56487;2174.04;-88.5270;54.3169;1.2415;1.1874;-64.7660;77.3019;352.5339;352.5081;354.1044;184.6755;0.7044;0.3355;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(0.0, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.2170;0.0037;-0.0217
-0.6992;0.0639;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0008;0.0008;359.5096;359.5096;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;156952;71.43739;2174.11;-88.5270;54.3168;1.2415;1.1874;-64.7660;77.3014;352.5338;352.5071;354.1044;184.6750;0.7044;0.3355;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.4, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.2866;0.0037;-0.0217
-0.6992;0.1308;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0007;0.0007;359.5096;359.5096;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;156957;71.75446;2174.18;-88.5270;54.3167;1.2415;1.1874;-64.7660;77.3004;352.5337;352.5054;354.1044;184.6732;0.7044;0.3356;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(0.0, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.3562;0.0037;-0.0217
-0.6992;0.2065;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0007;0.0007;359.5096;359.5096;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;156962;71.84921;2174.25;-88.5270;54.3164;1.2415;1.1874;-64.7660;77.2981;352.5337;352.5020;354.1044;184.6721;0.7044;0.3356;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(0.0, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.4258;0.0037;-0.0217
-0.6992;0.2778;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0007;0.0007;359.5096;359.5096;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;156967;71.83096;2174.32;-88.5270;54.3159;1.2415;1.1874;-64.7660;77.2938;352.5337;352.4969;354.1044;184.6685;0.7044;0.3357;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.4954;0.0037;-0.0217
-0.5742;0.3371;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0007;0.0007;359.5096;359.5096;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;156972;71.73234;2174.39;-88.5270;54.3151;1.2415;1.1874;-64.7660;77.2866;352.5336;352.4898;354.1044;184.6646;0.7044;0.3359;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, -0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.5, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.5652;0.0037;-0.0217
-0.2222;0.3904;False;False;-86.5000;-86.5000;0.0461;0.0461;-65.0999;-65.0999;0.0007;0.0007;359.5096;359.5096;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;156977;71.91235;2174.46;-88.5271;54.3138;1.2415;1.1874;-64.7660;77.2758;352.5336;352.4813;354.1044;184.6600;0.7044;0.3360;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.3, 0.1)_(0.6, 0.4, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.5, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.8, -0.3, 0.1)_(-0.1, 0.6, 0.4, -0.6)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.6345;0.0037;-0.0217
