AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1505;-75.1505;359.8797;359.8797;269.9953;269.9953;0.1601;0.1601; ; ; ; ; ; ;349063;71.57027;2996.70;80.7213;-84.9610;1.2064;1.1458;-75.5358;78.2026;352.3847;352.5411;273.5990;154.0743;359.6808;359.2947;;;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.6, -0.4, -0.5, 0.4)_0.9574593_System.String[];0.0000;0.0058;-0.1088
0.0000;0.0000;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1506;-75.1506;359.8796;359.8796;269.9979;269.9979;0.1594;0.1594;-0.0002;0.0000;0.0000;-0.0013;-0.0013;-0.0002;349067;66.32479;2996.77;80.7213;-84.9610;1.2064;1.1458;-75.5358;78.2025;352.3847;352.5410;273.6005;154.0748;359.6803;359.2946;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.0669;0.0059;-0.1088
0.0000;0.0000;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1507;-75.1507;359.8794;359.8794;270.0029;270.0029;0.1590;0.1590;0.0000;0.0000;0.0000;-0.0014;-0.0014;0.0000;349072;69.95202;2996.84;80.7212;-84.9610;1.2064;1.1458;-75.5359;78.2025;352.3844;352.5410;273.6055;154.0746;359.6798;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.1365;0.0065;-0.1088
0.0000;0.0000;False;False;80.8693;80.8693;-0.0024;-0.0024;-75.1508;-75.1508;359.8797;359.8797;270.0056;270.0056;0.1591;0.1591;0.0030;0.0000;0.0000;-0.0014;-0.0014;0.0030;349077;70.89584;2996.91;80.7212;-84.9610;1.2064;1.1458;-75.5360;78.2026;352.3846;352.5411;273.6087;154.0729;359.6798;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.2065;0.0067;-0.1088
0.0000;0.0000;False;False;80.8694;80.8694;-0.0024;-0.0024;-75.1509;-75.1509;359.8796;359.8796;270.0112;270.0112;0.1592;0.1592;0.0004;0.0000;0.0000;-0.0014;-0.0014;0.0004;349082;71.41212;2996.98;80.7213;-84.9610;1.2064;1.1458;-75.5361;78.2025;352.3846;352.5410;273.6137;154.0716;359.6799;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.2764;0.0067;-0.1088
0.0000;0.0000;False;False;80.8694;80.8694;-0.0024;-0.0024;-75.1510;-75.1510;359.8795;359.8795;270.0161;270.0161;0.1593;0.1593;0.0016;0.0000;0.0000;-0.0014;-0.0014;0.0016;349087;71.45901;2997.05;80.7213;-84.9610;1.2064;1.1458;-75.5362;78.2026;352.3846;352.5411;273.6188;154.0700;359.6800;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.3462;0.0067;-0.1088
0.0000;0.0000;False;False;80.8696;80.8696;-0.0024;-0.0024;-75.1511;-75.1511;359.8799;359.8799;270.0200;270.0200;0.1593;0.1593;0.0040;0.0000;0.0000;-0.0014;-0.0014;0.0040;349092;71.71832;2997.12;80.7213;-84.9610;1.2064;1.1458;-75.5363;78.2026;352.3848;352.5412;273.6231;154.0708;359.6801;359.2948;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.1, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.4158;0.0067;-0.1088
0.0000;0.0000;False;False;80.8697;80.8697;-0.0024;-0.0024;-75.1512;-75.1512;359.8796;359.8796;270.0235;270.0235;0.1594;0.1594;0.0013;0.0000;0.0000;-0.0014;-0.0014;0.0013;349097;71.65079;2997.19;80.7214;-84.9610;1.2064;1.1458;-75.5364;78.2026;352.3846;352.5411;273.6263;154.0713;359.6801;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.4856;0.0067;-0.1088
0.0000;0.0000;False;False;80.8698;80.8698;-0.0024;-0.0024;-75.1513;-75.1513;359.8796;359.8796;270.0285;270.0285;0.1594;0.1594;0.0021;0.0000;0.0000;-0.0014;-0.0014;0.0021;349102;71.74529;2997.26;80.7215;-84.9610;1.2064;1.1458;-75.5365;78.2026;352.3846;352.5412;273.6311;154.0726;359.6801;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(0.0, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.5552;0.0067;-0.1088
0.0000;0.0000;False;False;80.8700;80.8700;-0.0024;-0.0024;-75.1514;-75.1514;359.8798;359.8798;270.0315;270.0315;0.1594;0.1594;0.0040;0.0000;0.0000;-0.0014;-0.0014;0.0040;349107;71.62668;2997.33;80.7217;-84.9610;1.2064;1.1458;-75.5366;78.2025;352.3848;352.5411;273.6351;154.0730;359.6801;359.2947;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.5, -0.6, 0.0)_0.9037612_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.5, -0.7, -0.3)_0.9574593_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.6, -0.5, 0.6)_0.9037612_System.String[];HandRight_(-0.1, -0.2, -0.4)_(-0.7, -0.3, -0.5, 0.4)_0.9574593_System.String[];0.6250;0.0067;-0.1088
