AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.1055;0.0000;False;False;54.7021;54.7021;-0.0005;-0.0005;-115.2018;-115.2018;0.4462;0.4462;305.8758;305.8758;0.2046;0.2046; ; ; ; ; ; ;546391;49.7118;3547.30;54.2918;98.3352;1.1754;1.1631;-115.3525;55.0909;352.9443;352.5750;308.8514;222.8042;359.8374;358.9333;;;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.1)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.0000;0.0518;0.0053
0.1411;0.0000;False;False;54.7016;54.7016;0.0002;0.0002;-115.2015;-115.2015;0.4459;0.4459;305.8778;305.8778;0.2045;0.2045;-0.0177;0.0075;0.0075;0.0123;0.0123;-0.0177;546394;48.86119;3547.37;54.2915;98.3352;1.1762;1.1643;-115.3524;55.0908;352.9454;352.5807;308.8526;222.8041;359.8372;358.9342;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.5, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.9111205_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.0671;0.0545;0.0053
0.1808;0.0000;False;False;54.6996;54.6996;0.0006;0.0006;-115.2001;-115.2001;0.4408;0.4408;305.8813;305.8813;0.2046;0.2046;-0.0378;0.0038;0.0038;0.0274;0.0274;-0.0378;546399;61.88412;3547.44;54.2898;98.3351;1.1767;1.1651;-115.3512;55.0908;352.9410;352.5826;308.8560;222.8055;359.8371;358.9344;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.2)_(0.7, 0.4, -0.5, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.9111205_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.1375;0.0547;0.0046
0.2053;0.0046;False;False;54.6956;54.6956;0.0007;0.0007;-115.1972;-115.1972;0.4335;0.4335;305.8866;305.8866;0.2049;0.2049;-0.0701;0.0009;0.0009;0.0518;0.0518;-0.0701;546404;68.06303;3547.51;54.2864;98.3351;1.1769;1.1654;-115.3486;55.0908;352.9339;352.5826;308.8613;222.8055;359.8370;358.9344;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.2)_(0.7, 0.4, -0.5, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.9111205_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.2073;0.0517;0.0022
0.2217;0.0230;False;False;54.6897;54.6897;0.0008;0.0008;-115.1927;-115.1927;0.4256;0.4256;305.8937;305.8937;0.2052;0.2052;-0.0980;-0.0004;-0.0004;0.0727;0.0727;-0.0980;546409;70.65803;3547.58;54.2810;98.3351;1.1769;1.1656;-115.3446;55.0907;352.9261;352.5815;308.8676;222.8055;359.8369;358.9343;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.2766;0.0465;-0.0009
0.2337;0.0347;False;False;54.6814;54.6814;0.0007;0.0007;-115.1866;-115.1866;0.4182;0.4182;305.9016;305.9016;0.2053;0.2053;-0.1377;-0.0014;-0.0014;0.1020;0.1020;-0.1377;546414;71.4803;3547.65;54.2732;98.3349;1.1769;1.1656;-115.3388;55.0905;352.9185;352.5798;308.8756;222.8060;359.8366;358.9340;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.3462;0.0406;-0.0033
0.2420;0.0432;False;False;54.6707;54.6707;0.0006;0.0006;-115.1787;-115.1787;0.4118;0.4118;305.9099;305.9099;0.2053;0.2053;-0.1664;-0.0018;-0.0018;0.1231;0.1231;-0.1664;546419;71.82631;3547.72;54.2631;98.3345;1.1768;1.1656;-115.3313;55.0900;352.9118;352.5778;308.8842;222.8065;359.8363;358.9337;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.4158;0.0352;-0.0045
0.2524;0.0673;False;False;54.6577;54.6577;0.0004;0.0004;-115.1691;-115.1691;0.4069;0.4069;305.9189;305.9189;0.2052;0.2052;-0.2071;-0.0022;-0.0022;0.1527;0.1527;-0.2071;546424;71.94885;3547.79;54.2506;98.3340;1.1767;1.1656;-115.3220;55.0891;352.9068;352.5760;308.8929;222.8070;359.8359;358.9335;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.4851;0.0308;-0.0049
0.2678;0.0948;False;False;54.6422;54.6422;0.0003;0.0003;-115.1576;-115.1576;0.4027;0.4027;305.9283;305.9283;0.2051;0.2051;-0.2385;-0.0025;-0.0025;0.1757;0.1757;-0.2385;546429;71.97701;3547.86;54.2357;98.3330;1.1766;1.1656;-115.3109;55.0877;352.9025;352.5735;308.9022;222.8081;359.8356;358.9331;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.5547;0.0275;-0.0049
0.2894;0.1190;False;False;54.6240;54.6240;0.0001;0.0001;-115.1443;-115.1443;0.3991;0.3991;305.9383;305.9383;0.2051;0.2051;-0.2829;-0.0028;-0.0028;0.2082;0.2082;-0.2829;546434;71.84618;3547.93;54.2181;98.3314;1.1764;1.1656;-115.2979;55.0854;352.8988;352.5707;308.9121;222.8075;359.8354;358.9327;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.0)_0.9111205_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.5, 0.6, -0.6, 0.2)_0.9470347_System.String[];HandRight_(0.1, -0.3, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.9111205_System.String[];HandRight_(0.1, -0.3, -0.3)_(-0.3, -0.6, -0.5, 0.6)_0.9470347_System.String[];0.6243;0.0258;-0.0049
