AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;54.7020;54.7020;0.0009;0.0009;-115.2019;-115.2019;0.4432;0.4432;305.8757;305.8757;0.2043;0.2043; ; ; ; ; ; ;283915;71.69106;2938.68;54.3523;-131.5899;1.1674;1.0674;-115.4264;-68.1928;352.9792;352.5369;301.4858;90.6017;0.7408;359.2953;;;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.5)_0.9459894_System.String[];0.0000;0.0314;0.0487
0.0000;0.0000;False;False;54.7018;54.7018;0.0009;0.0009;-115.2018;-115.2018;0.4419;0.4419;305.8751;305.8751;0.2037;0.2037;-0.0059;-0.0003;-0.0003;0.0033;0.0033;-0.0059;283919;64.93501;2938.75;54.3522;-131.5899;1.1673;1.0673;-115.4264;-68.1928;352.9780;352.5360;301.4856;90.6024;0.7403;359.2953;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.5)_0.9459894_System.String[];0.0701;0.0314;0.0460
0.0000;0.0000;False;False;54.7014;54.7014;0.0009;0.0009;-115.2016;-115.2016;0.4405;0.4405;305.8762;305.8762;0.2035;0.2035;-0.0072;-0.0003;-0.0003;0.0041;0.0041;-0.0072;283924;69.45284;2938.82;54.3518;-131.5899;1.1673;1.0673;-115.4261;-68.1928;352.9764;352.5353;301.4863;90.6025;0.7402;359.2952;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.6, -0.6, 0.5)_0.9459894_System.String[];0.1396;0.0314;0.0423
0.0216;0.0000;False;False;54.7006;54.7006;0.0008;0.0008;-115.2011;-115.2011;0.4392;0.4392;305.8779;305.8779;0.2035;0.2035;-0.0131;-0.0003;-0.0003;0.0085;0.0085;-0.0131;283929;68.59198;2938.89;54.3511;-131.5900;1.1673;1.0673;-115.4257;-68.1928;352.9752;352.5346;301.4879;90.6021;0.7403;359.2951;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.6, 0.5)_0.9459894_System.String[];0.2117;0.0314;0.0396
0.0710;0.0000;False;False;54.6994;54.6994;0.0008;0.0008;-115.2003;-115.2003;0.4374;0.4374;305.8781;305.8781;0.2037;0.2037;-0.0209;-0.0003;-0.0003;0.0143;0.0143;-0.0209;283934;70.46746;2938.96;54.3500;-131.5899;1.1673;1.0673;-115.4250;-68.1928;352.9737;352.5341;301.4882;90.6038;0.7405;359.2951;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.5, 0.5)_0.9459894_System.String[];0.2815;0.0314;0.0394
0.1080;0.0000;False;False;54.6973;54.6973;0.0008;0.0008;-115.1988;-115.1988;0.4346;0.4346;305.8779;305.8779;0.2038;0.2038;-0.0379;-0.0005;-0.0005;0.0269;0.0269;-0.0379;283939;71.06774;2939.03;54.3482;-131.5898;1.1673;1.0673;-115.4237;-68.1928;352.9711;352.5337;301.4878;90.6041;0.7409;359.2951;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.7, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.5, 0.5)_0.9459894_System.String[];0.3516;0.0314;0.0410
0.1342;0.0000;False;False;54.6940;54.6940;0.0007;0.0007;-115.1965;-115.1965;0.4310;0.4310;305.8798;305.8798;0.2040;0.2040;-0.0547;-0.0006;-0.0006;0.0394;0.0394;-0.0547;283944;71.67898;2939.10;54.3452;-131.5898;1.1672;1.0673;-115.4216;-68.1928;352.9677;352.5338;301.4892;90.6056;0.7413;359.2951;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.4)_(0.0, -0.7, -0.5, 0.5)_0.9459894_System.String[];0.4211;0.0314;0.0437
0.1603;0.0000;False;False;54.6892;54.6892;0.0007;0.0007;-115.1930;-115.1930;0.4268;0.4268;305.8817;305.8817;0.2042;0.2042;-0.0788;-0.0008;-0.0008;0.0572;0.0572;-0.0788;283949;71.71956;2939.17;54.3408;-131.5898;1.1672;1.0673;-115.4184;-68.1928;352.9634;352.5338;301.4912;90.6041;0.7418;359.2950;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.4)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.5, 0.5)_0.9459894_System.String[];0.4907;0.0314;0.0449
0.1921;0.0000;False;False;54.6828;54.6828;0.0006;0.0006;-115.1884;-115.1884;0.4225;0.4225;305.8846;305.8846;0.2044;0.2044;-0.1033;-0.0010;-0.0010;0.0755;0.0755;-0.1033;283954;71.71591;2939.24;54.3348;-131.5899;1.1671;1.0673;-115.4141;-68.1928;352.9594;352.5338;301.4937;90.6034;0.7423;359.2950;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.1)_0.9354712_System.String[];HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.5, 0.3)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.5, 0.5)_0.9459894_System.String[];0.5605;0.0314;0.0449
0.2388;0.0000;False;False;54.6744;54.6744;0.0005;0.0005;-115.1822;-115.1822;0.4174;0.4174;305.8890;305.8890;0.2046;0.2046;-0.1367;-0.0013;-0.0013;0.1002;0.1002;-0.1367;283959;71.90006;2939.31;54.3269;-131.5899;1.1671;1.0673;-115.4082;-68.1928;352.9543;352.5338;301.4977;90.6044;0.7430;359.2950;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.5, -0.6, 0.0)_0.9354712_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.5, 0.2)_0.9459894_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, 0.7, 0.5, -0.5)_0.9354712_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.0, -0.7, -0.5, 0.5)_0.9459894_System.String[];0.6299;0.0314;0.0449
