AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
-0.2182;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8716;359.8716;273.3849;273.3849;0.1476;0.1476; ; ; ; ; ; ;145055;71.79452;2002.13;80.5415;-87.2837;1.1884;1.1271;-77.1235;-85.2079;352.4193;352.5162;267.9588;74.5922;0.8649;0.3347;;;HandLeft_(1.5, -0.4, 0.1)_(0.5, 0.5, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.0000;-0.0555;0.0058
-0.2182;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8706;359.8706;273.3849;273.3849;0.1474;0.1474;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;145059;64.73983;2002.20;80.5415;-87.2837;1.1884;1.1270;-77.1235;-85.2079;352.4183;352.5153;267.9588;74.5924;0.8649;0.3347;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.5, 0.6, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.2)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.0706;-0.0569;0.0058
-0.2222;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8698;359.8698;273.3849;273.3849;0.1473;0.1473;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;145064;69.4237;2002.27;80.5415;-87.2838;1.1884;1.1270;-77.1235;-85.2079;352.4174;352.5146;267.9589;74.5941;0.8648;0.3347;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.6, 0.6, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.4, -0.7, 0.1)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.4, 0.7)_0.9445807_System.String[];0.1400;-0.0586;0.0069
-0.2222;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8692;359.8692;273.3849;273.3849;0.1472;0.1472;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;145069;71.13562;2002.34;80.5415;-87.2837;1.1884;1.1270;-77.1235;-85.2079;352.4168;352.5139;267.9589;74.5953;0.8647;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.6, 0.6, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.3, -0.7, 0.1)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.2095;-0.0592;0.0085
-0.2222;0.0000;False;False;81.0092;81.0092;-0.0026;-0.0026;-75.1205;-75.1205;359.8688;359.8688;273.3849;273.3849;0.1471;0.1471;0.0000;-0.0002;-0.0002;0.0000;0.0000;0.0000;145074;71.71125;2002.41;80.5415;-87.2837;1.1884;1.1270;-77.1235;-85.2079;352.4164;352.5134;267.9589;74.5957;0.8647;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.5, 0.5, -0.6, 0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.7, 0.5, -0.6, 0.0)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.2789;-0.0592;0.0090
-0.2143;0.0000;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8685;359.8685;273.3849;273.3849;0.1470;0.1470;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;145079;71.90756;2002.48;80.5415;-87.2837;1.1883;1.1270;-77.1235;-85.2079;352.4160;352.5131;267.9589;74.5966;0.8647;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.5, 0.5, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.3, -0.3)_(0.6, 0.6, -0.4, 0.0)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.3484;-0.0592;0.0090
-0.1349;0.0000;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8684;359.8684;273.3849;273.3849;0.1470;0.1470;0.0000;-0.0001;-0.0001;0.0000;0.0000;0.0000;145084;71.77734;2002.55;80.5416;-87.2837;1.1883;1.1270;-77.1235;-85.2079;352.4158;352.5132;267.9589;74.5966;0.8646;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.6, 0.5, -0.6, 0.0)_0.9549824_System.String[];HandLeft_(-0.2, -0.2, -0.2)_(0.6, 0.8, -0.2, 0.0)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.6)_0.9445807_System.String[];0.4181;-0.0595;0.0090
0.0000;0.0000;False;False;81.0092;81.0092;-0.0027;-0.0027;-75.1205;-75.1205;359.8683;359.8683;273.3852;273.3852;0.1469;0.1469;0.0011;-0.0001;-0.0001;-0.0010;-0.0010;0.0011;145089;68.57263;2002.62;80.5416;-87.2836;1.1883;1.1270;-77.1235;-85.2079;352.4157;352.5129;267.9589;74.5974;0.8646;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.5, 0.5, -0.6, 0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.1, -0.1)_(0.6, 0.8, 0.1, 0.0)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.4912;-0.0608;0.0090
0.0000;0.0000;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1206;-75.1206;359.8684;359.8684;273.3885;273.3885;0.1461;0.1461;0.0014;0.0000;0.0000;-0.0014;-0.0014;0.0014;145094;70.8385;2002.69;80.5415;-87.2836;1.1884;1.1270;-77.1236;-85.2079;352.4157;352.5128;267.9622;74.5974;0.8638;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.6, 0.6, -0.6, 0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.1, -0.1)_(0.6, 0.8, 0.1, 0.0)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.5607;-0.0620;0.0090
0.0000;0.0000;False;False;81.0093;81.0093;-0.0027;-0.0027;-75.1207;-75.1207;359.8682;359.8682;273.3932;273.3932;0.1459;0.1459;0.0025;0.0000;0.0000;-0.0014;-0.0014;0.0025;145099;71.61492;2002.76;80.5414;-87.2835;1.1884;1.1270;-77.1236;-85.2079;352.4156;352.5129;267.9664;74.5964;0.8636;0.3348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(1.5, -0.4, 0.1)_(0.5, 0.5, -0.6, 0.1)_0.9549824_System.String[];HandLeft_(-0.2, -0.1, -0.1)_(0.6, 0.8, 0.1, 0.0)_0.9445807_System.String[];HandRight_(1.7, -0.3, 0.0)_(0.2, -0.6, -0.4, 0.7)_0.9549824_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.5, -0.5, 0.7)_0.9445807_System.String[];0.6301;-0.0623;0.0090
