AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.2950;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7784;359.7784;278.9333;278.9333;0.0115;0.0115; ; ; ; ; ; ;264005;71.38539;3587.86;81.0495;79.7212;1.1365;1.2239;-75.7144;87.5649;352.2830;352.7130;277.0575;255.5916;0.2633;358.2313;;;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.0000;-0.0588;-0.0414
0.0000;0.3054;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7776;359.7776;278.9336;278.9336;0.0114;0.0114;0.0005;-0.0003;-0.0003;-0.0002;-0.0002;0.0005;264009;64.89787;3587.93;81.0495;79.7200;1.1365;1.2239;-75.7144;87.5642;352.2822;352.7086;277.0576;255.5911;0.2633;358.2299;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.0698;-0.0588;-0.0414
-0.0238;0.3238;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7774;359.7774;278.9332;278.9332;0.0114;0.0114;0.0010;-0.0002;-0.0002;-0.0003;-0.0003;0.0010;264014;68.67435;3588.00;81.0496;79.7160;1.1365;1.2239;-75.7144;87.5620;352.2819;352.7000;277.0577;255.5858;0.2633;358.2274;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.1401;-0.0588;-0.0414
-0.0278;0.3419;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7769;359.7769;278.9331;278.9331;0.0114;0.0114;0.0000;-0.0002;-0.0002;-0.0001;-0.0001;0.0000;264019;70.56815;3588.07;81.0496;79.7086;1.1365;1.2239;-75.7144;87.5578;352.2815;352.6902;277.0573;255.5793;0.2633;358.2245;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.2102;-0.0588;-0.0414
-0.0794;0.3561;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7767;359.7767;278.9331;278.9331;0.0114;0.0114;0.0000;-0.0001;-0.0001;-0.0001;-0.0001;0.0000;264024;71.47687;3588.14;81.0496;79.6980;1.1364;1.2239;-75.7144;87.5519;352.2812;352.6815;277.0573;255.5711;0.2633;358.2220;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.2798;-0.0588;-0.0414
-0.1230;0.3758;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7766;359.7766;278.9331;278.9331;0.0114;0.0114;0.0000;-0.0001;-0.0001;-0.0001;-0.0001;0.0000;264029;71.79559;3588.21;81.0496;79.6839;1.1364;1.2239;-75.7144;87.5440;352.2810;352.6742;277.0573;255.5596;0.2633;358.2199;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.3494;-0.0588;-0.0414
-0.0952;0.3949;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7765;359.7765;278.9331;278.9331;0.0114;0.0114;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;264034;71.19904;3588.28;81.0496;79.6661;1.1364;1.2239;-75.7144;87.5341;352.2809;352.6682;277.0573;255.5452;0.2633;358.2182;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.4197;-0.0588;-0.0414
0.0000;0.4167;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7764;359.7764;278.9331;278.9331;0.0114;0.0114;0.0000;0.0000;0.0000;-0.0001;-0.0001;0.0000;264039;71.57623;3588.34;81.0496;79.6443;1.1364;1.2239;-75.7144;87.5219;352.2809;352.6632;277.0573;255.5275;0.2634;358.2167;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.4893;-0.0591;-0.0414
0.0000;0.4396;False;False;81.2388;81.2388;-0.0050;-0.0050;-75.3998;-75.3998;359.7763;359.7763;278.9329;278.9329;0.0114;0.0114;0.0006;0.0000;0.0000;-0.0002;-0.0002;0.0006;264044;71.84188;3588.41;81.0496;79.6188;1.1364;1.2239;-75.7144;87.5077;352.2807;352.6589;277.0579;255.5070;0.2633;358.2158;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.3, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.5588;-0.0615;-0.0414
0.0000;0.4569;False;False;81.2389;81.2389;-0.0050;-0.0050;-75.3999;-75.3999;359.7766;359.7766;278.9333;278.9333;0.0114;0.0114;0.0006;0.0000;0.0000;-0.0002;-0.0002;0.0006;264049;71.8738;3588.48;81.0497;79.5890;1.1364;1.2239;-75.7144;87.4910;352.2811;352.6555;277.0578;255.4830;0.2634;358.2154;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.1, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.6284;-0.0669;-0.0414
0.0000;0.4789;False;False;81.2390;81.2390;-0.0050;-0.0050;-75.3999;-75.3999;359.7767;359.7767;278.9334;278.9334;0.0114;0.0114;0.0017;0.0000;0.0000;-0.0003;-0.0003;0.0017;264054;71.12293;3588.55;81.0497;79.5545;1.1364;1.2238;-75.7145;87.4717;352.2811;352.6529;277.0581;255.4552;0.2634;358.2146;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.5, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.4, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.6992;-0.0742;-0.0414
0.0000;0.5016;False;False;81.2392;81.2392;-0.0050;-0.0050;-75.3999;-75.3999;359.7767;359.7767;278.9333;278.9333;0.0114;0.0114;0.0042;0.0000;0.0000;-0.0006;-0.0006;0.0042;264059;71.71358;3588.62;81.0499;79.5156;1.1364;1.2238;-75.7145;87.4499;352.2812;352.6510;277.0572;255.4240;0.2634;358.2137;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.3, 0.7)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.7686;-0.0822;-0.0414
0.0000;0.5185;False;False;81.2394;81.2394;-0.0050;-0.0050;-75.3999;-75.3999;359.7769;359.7769;278.9331;278.9331;0.0115;0.0115;0.0034;0.0000;0.0000;-0.0005;-0.0005;0.0034;264064;71.801;3588.69;81.0501;79.4721;1.1364;1.2238;-75.7145;87.4255;352.2814;352.6492;277.0580;255.3891;0.2634;358.2129;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.5, -0.3, 0.8)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.8381;-0.0898;-0.0414
0.0000;0.5285;False;False;81.2397;81.2397;-0.0050;-0.0050;-75.4000;-75.4000;359.7770;359.7770;278.9334;278.9334;0.0115;0.0115;0.0023;0.0000;0.0000;-0.0004;-0.0004;0.0023;264069;71.89888;3588.76;81.0504;79.4237;1.1364;1.2237;-75.7145;87.3983;352.2815;352.6477;277.0573;255.3502;0.2634;358.2121;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.6, 0.2)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.5, -0.3, 0.8)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.9077;-0.0991;-0.0414
0.0000;0.5340;False;False;81.2399;81.2399;-0.0050;-0.0050;-75.4000;-75.4000;359.7769;359.7769;278.9348;278.9348;0.0115;0.0115;0.0066;0.0000;0.0000;-0.0008;-0.0008;0.0066;264074;71.83082;3588.83;81.0506;79.3704;1.1364;1.2236;-75.7146;87.3684;352.2812;352.6467;277.0588;255.3074;0.2634;358.2113;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.6, 0.3)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.5, -0.3, 0.8)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];0.9773;-0.1115;-0.0414
0.0000;0.5283;False;False;81.2403;81.2403;-0.0050;-0.0050;-75.4001;-75.4001;359.7770;359.7770;278.9360;278.9360;0.0115;0.0115;0.0057;0.0000;0.0000;-0.0007;-0.0007;0.0057;264079;71.87172;3588.90;81.0509;79.3119;1.1364;1.2236;-75.7146;87.3354;352.2814;352.6462;277.0599;255.2606;0.2635;358.2107;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.4, 0.6, -0.6, 0.3)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.5, -0.3, 0.8)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];1.0469;-0.1273;-0.0414
0.0000;0.5161;False;False;81.2407;81.2407;-0.0050;-0.0050;-75.4001;-75.4001;359.7770;359.7770;278.9362;278.9362;0.0115;0.0115;0.0066;0.0000;0.0000;-0.0007;-0.0007;0.0066;264084;71.89561;3588.97;81.0513;79.2485;1.1364;1.2235;-75.7147;87.2996;352.2814;352.6465;277.0606;255.2099;0.2635;358.2103;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.4, -0.3)_(0.3, 0.7, -0.6, 0.3)_0.9092891_System.String[];HandLeft_(-0.2, -0.2, -0.3)_(0.6, 0.3, -0.7, -0.2)_0.9344994_System.String[];HandRight_(0.0, -0.3, -0.3)_(0.2, -0.5, -0.3, 0.8)_0.9092891_System.String[];HandRight_(0.0, -0.2, -0.3)_(-0.1, -0.5, -0.4, 0.8)_0.9344994_System.String[];1.1165;-0.1445;-0.0417
