AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;-0.2500;False;False;81.0089;81.0089;-0.0181;-0.0181;-75.1197;-75.1197;359.7895;359.7895;273.3842;273.3842;0.1495;0.1495; ; ; ; ; ; ;446944;71.80408;3919.67;80.7928;-82.7610;1.1197;1.1301;-75.4607;77.9630;352.2891;352.4272;271.5818;150.9669;0.3905;359.5723;;;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.0000;0.0089;0.0136
0.0000;-0.2500;False;False;81.0090;81.0090;-0.0119;-0.0119;-75.1199;-75.1199;359.8259;359.8259;273.3878;273.3878;0.1485;0.1485;-0.0023;0.0670;0.0670;-0.0016;-0.0016;-0.0023;446948;64.84106;3919.74;80.7922;-82.7607;1.1262;1.1368;-75.4607;77.9625;352.3280;352.4656;271.5847;150.9666;0.3881;359.5745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.0703;0.0089;0.0136
0.0000;-0.2540;False;False;81.0091;81.0091;-0.0080;-0.0080;-75.1200;-75.1200;359.8495;359.8495;273.3937;273.3937;0.1479;0.1479;0.0006;0.0452;0.0452;-0.0017;-0.0017;0.0006;446953;68.4407;3919.81;80.7917;-82.7605;1.1304;1.1411;-75.4608;77.9621;352.3537;352.4908;271.5905;150.9665;0.3866;359.5759;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.1409;0.0089;0.0136
0.0000;-0.2540;False;False;81.0091;81.0091;-0.0056;-0.0056;-75.1201;-75.1201;359.8632;359.8632;273.4008;273.4008;0.1475;0.1475;-0.0001;0.0254;0.0254;-0.0015;-0.0015;-0.0001;446958;70.77319;3919.88;80.7914;-82.7603;1.1330;1.1438;-75.4608;77.9619;352.3693;352.5062;271.5975;150.9664;0.3857;359.5768;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.2104;0.0089;0.0136
0.0000;-0.2619;False;False;81.0093;81.0093;-0.0041;-0.0041;-75.1202;-75.1202;359.8707;359.8707;273.4070;273.4070;0.1472;0.1472;0.0016;0.0157;0.0157;-0.0016;-0.0016;0.0016;446963;71.58942;3919.95;80.7913;-82.7603;1.1346;1.1454;-75.4609;77.9618;352.3779;352.5143;271.6049;150.9663;0.3851;359.5773;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.2798;0.0089;0.0136
0.0000;-0.2659;False;False;81.0093;81.0093;-0.0033;-0.0033;-75.1203;-75.1203;359.8737;359.8737;273.4127;273.4127;0.1470;0.1470;0.0013;0.0077;0.0077;-0.0015;-0.0015;0.0013;446968;71.86374;3920.02;80.7912;-82.7602;1.1355;1.1464;-75.4610;77.9618;352.3816;352.5179;271.6097;150.9663;0.3848;359.5775;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.3494;0.0089;0.0136
0.0000;-0.2659;False;False;81.0094;81.0094;-0.0029;-0.0029;-75.1205;-75.1205;359.8742;359.8742;273.4177;273.4177;0.1469;0.1469;0.0012;0.0042;0.0042;-0.0015;-0.0015;0.0012;446973;71.65807;3920.09;80.7912;-82.7602;1.1360;1.1469;-75.4611;77.9617;352.3825;352.5188;271.6149;150.9662;0.3846;359.5775;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.4192;0.0089;0.0136
0.0000;-0.2659;False;False;81.0095;81.0095;-0.0027;-0.0027;-75.1206;-75.1206;359.8737;359.8737;273.4225;273.4225;0.1467;0.1467;0.0026;0.0016;0.0016;-0.0015;-0.0015;0.0026;446978;71.70553;3920.16;80.7913;-82.7602;1.1362;1.1471;-75.4612;77.9617;352.3821;352.5183;271.6201;150.9662;0.3845;359.5775;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.4888;0.0089;0.0136
0.0000;-0.2659;False;False;81.0097;81.0097;-0.0026;-0.0026;-75.1207;-75.1207;359.8729;359.8729;273.4242;273.4242;0.1466;0.1466;0.0028;0.0006;0.0006;-0.0016;-0.0016;0.0028;446983;71.67601;3920.23;80.7915;-82.7602;1.1363;1.1472;-75.4613;77.9618;352.3813;352.5173;271.6223;150.9663;0.3843;359.5775;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.5586;0.0089;0.0136
0.0000;-0.2659;False;False;81.0098;81.0098;-0.0026;-0.0026;-75.1208;-75.1208;359.8718;359.8718;273.4258;273.4258;0.1465;0.1465;0.0031;0.0000;0.0000;-0.0016;-0.0016;0.0031;446988;71.894;3920.30;80.7917;-82.7602;1.1364;1.1472;-75.4614;77.9618;352.3802;352.5161;271.6241;150.9663;0.3843;359.5774;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.3)_(0.6, 0.4, -0.7, -0.2)_0.9155868_System.String[];HandLeft_(-0.1, -0.3, -0.3)_(0.5, 0.6, -0.7, 0.1)_0.914926_System.String[];HandRight_(0.1, -0.3, -0.3)_(0.2, -0.6, -0.5, 0.7)_0.9155868_System.String[];HandRight_(0.1, -0.2, -0.1)_(-0.1, -0.1, -0.8, 0.6)_0.914926_System.String[];0.6279;0.0089;0.0136
