AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.2113;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0007;305.8757;85.1925;0.2039;0.0000; ; ; ; ; ; ;695389;71.77985;Infinity;2977.04;54.0849;-131.3627;1.5863;1.5855;-115.6516;-68.4539;353.5718;352.8864;332.0902;66.6373;357.0697;2.3803;;;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.8, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.0000;-0.0166;0.0178;54.3895;-131.4866;1.1352;1.1143;-115.3891;-68.1761;357.7297;359.0290;308.4856;88.4917;358.2637;355.7503
0.0000;0.2569;False;False;54.7019;-131.6995;0.0008;-0.0139;-115.2019;-68.6000;0.4406;-0.0011;305.8772;85.1931;0.2036;0.0001;0.0216;0.0000;0.0000;0.0012;0.0016;-0.0030;695392;65.3295;Infinity;2977.10;54.0849;-131.3625;1.5863;1.5855;-115.6516;-68.4539;353.5718;352.8856;332.0909;66.6381;357.0695;2.3806;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.3, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.0525;-0.0166;0.0177;54.3898;-131.4854;1.1349;1.1145;-115.3882;-68.1758;357.7762;359.3306;308.6154;88.5677;358.0904;355.9193
0.0000;0.3075;False;False;54.7018;-131.6979;0.0008;-0.0139;-115.2018;-68.5998;0.4402;-0.0048;305.8780;85.1927;0.2033;0.0002;0.0455;0.0000;-0.0001;0.0023;0.0035;-0.0047;695395;68.16844;Infinity;2977.14;54.0847;-131.3613;1.5863;1.5855;-115.6515;-68.4538;353.5716;352.8826;332.0928;66.6372;357.0691;2.3817;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.0945;-0.0166;0.0176;54.3899;-131.4834;1.1348;1.1147;-115.3877;-68.1754;357.7825;359.4800;308.7265;88.4869;357.9601;355.9453
0.0000;0.3632;False;False;54.7015;-131.6951;0.0008;-0.0139;-115.2017;-68.5996;0.4398;359.9900;305.8789;85.1941;0.2033;0.0003;0.0765;-0.0001;-0.0001;0.0029;0.0058;-0.0056;695398;69.86272;Infinity;2977.18;54.0845;-131.3591;1.5863;1.5855;-115.6514;-68.4537;353.5712;352.8781;332.0934;66.6382;357.0688;2.3833;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, 0.0)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.1362;-0.0166;0.0176;54.3901;-131.4803;1.1347;1.1148;-115.3872;-68.1754;357.7811;359.5472;308.8502;88.3251;357.8405;355.9059
0.0000;0.4204;False;False;54.7011;-131.6908;0.0008;-0.0139;-115.2014;-68.5993;0.4390;359.9837;305.8789;85.1959;0.2033;0.0004;0.1306;-0.0001;-0.0002;0.0058;0.0100;-0.0097;695401;70.54678;Infinity;2977.22;54.0842;-131.3554;1.5863;1.5855;-115.6512;-68.4534;353.5706;352.8725;332.0935;66.6394;357.0684;2.3854;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, 0.0)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.1785;-0.0166;0.0176;54.3902;-131.4761;1.1346;1.1148;-115.3866;-68.1752;357.7712;359.6325;308.9697;88.1596;357.7272;355.8233
0.0000;0.4728;False;False;54.7007;-131.6847;0.0008;-0.0139;-115.2012;-68.5989;0.4387;359.9766;305.8779;85.1987;0.2033;0.0005;0.1720;-0.0001;-0.0002;0.0085;0.0132;-0.0135;695404;71.23804;Infinity;2977.26;54.0838;-131.3501;1.5863;1.5856;-115.6509;-68.4530;353.5702;352.8660;332.0927;66.6416;357.0682;2.3877;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.8, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.2202;-0.0166;0.0177;54.3903;-131.4704;1.1346;1.1145;-115.3860;-68.1749;357.7499;359.7816;309.0591;88.0301;357.6270;355.7172
0.0000;0.5174;False;False;54.7001;-131.6768;0.0008;-0.0140;-115.2008;-68.5982;0.4381;359.9689;305.8772;85.2014;0.2034;0.0007;0.2197;-0.0002;-0.0003;0.0096;0.0168;-0.0150;695407;71.28667;Infinity;2977.31;54.0832;-131.3431;1.5863;1.5856;-115.6506;-68.4525;353.5697;352.8590;332.0924;66.6440;357.0681;2.3902;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.2622;-0.0166;0.0177;54.3901;-131.4630;1.1345;1.1142;-115.3855;-68.1744;357.7339;0.0075;309.1111;87.9330;357.5416;355.5880
0.0012;0.5543;False;False;54.6994;-131.6667;0.0008;-0.0140;-115.2004;-68.5975;0.4377;359.9609;305.8769;85.2046;0.2034;0.0008;0.2708;-0.0002;-0.0003;0.0113;0.0207;-0.0175;695410;71.4817;Infinity;2977.35;54.0826;-131.3339;1.5863;1.5857;-115.6502;-68.4518;353.5692;352.8515;332.0917;66.6467;357.0679;2.3929;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.3040;-0.0166;0.0177;54.3899;-131.4536;1.1345;1.1137;-115.3848;-68.1737;357.7126;0.2012;309.1318;87.9110;357.4647;355.4488
0.0207;0.5859;False;False;54.6986;-131.6541;0.0008;-0.0140;-115.1999;-68.5965;0.4373;359.9528;305.8765;85.2086;0.2035;0.0010;0.3241;-0.0002;-0.0003;0.0124;0.0248;-0.0190;695413;71.18671;Infinity;2977.39;54.0819;-131.3224;1.5862;1.5857;-115.6497;-68.4509;353.5688;352.8439;332.0916;66.6501;357.0677;2.3957;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.3464;-0.0166;0.0177;54.3895;-131.4419;1.1345;1.1134;-115.3841;-68.1729;357.6797;0.2928;309.1360;87.9682;357.4136;355.3100
0.0967;0.6128;False;False;54.6977;-131.6393;0.0008;-0.0140;-115.1992;-68.5954;0.4367;359.9450;305.8758;85.2132;0.2035;0.0011;0.3801;-0.0002;-0.0003;0.0172;0.0291;-0.0258;695416;71.26694;Infinity;2977.43;54.0811;-131.3086;1.5862;1.5857;-115.6492;-68.4499;353.5685;352.8364;332.0905;66.6541;357.0676;2.3984;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, -0.8, -0.2)_(0.4, 0.4, -0.8, -0.2)_1.048193_System.String[];HandLeft_(-0.4, -0.7, -0.1)_(-0.9, -0.4, 0.4, -0.1)_1.023891_System.String[];HandRight_(0.4, -0.7, -0.3)_(0.0, -0.4, -0.5, 0.8)_1.048193_System.String[];HandRight_(-0.1, -0.7, -0.1)_(-0.1, 0.6, 0.5, -0.7)_1.023891_System.String[];0.3884;-0.0168;0.0177;54.3889;-131.4281;1.1344;1.1132;-115.3834;-68.1719;357.6282;0.3067;309.1100;88.0816;357.4019;355.2193
