AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.5156;0.0000;False;False;81.0291;-87.6001;-0.0056;-0.0087;-75.3302;88.0002;359.8331;0.0399;271.6664;160.9102;0.0964;359.9938; ; ; ; ; ; ;13412;71.41677;Infinity;156.18;80.9914;-87.7075;1.5050;1.1758;-76.2721;87.5426;352.3634;352.7164;277.6906;148.2325;359.2926;1.6273;;;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.4, -0.7, 0.0)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.7, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.0000;-0.0866;-0.0046;80.9488;-87.2052;1.1158;1.1432;-75.7163;87.9311;8.8062;9.5992;266.4427;161.4639;1.4393;358.0257
-0.5156;0.0000;False;False;81.0291;-87.6001;-0.0046;-0.0074;-75.3303;88.0001;359.8377;0.0462;271.6664;160.9118;0.0963;359.9938;0.0000;0.0112;0.0158;-0.0014;-0.0002;-0.0001;13413;41.98461;Infinity;156.24;80.9913;-87.7075;1.5053;1.1762;-76.2722;87.5426;352.3650;352.7185;277.6906;148.2325;359.2928;1.6268;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.4, -0.7, 0.1)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.0631;-0.0888;-0.0046;80.9469;-87.2070;1.1156;1.1453;-75.7169;87.9346;9.2717;7.7789;264.5048;161.3208;1.1564;358.1874
-0.5000;0.0000;False;False;81.0291;-87.6001;-0.0042;-0.0068;-75.3303;88.0001;359.8392;0.0486;271.6665;160.9107;0.0962;359.9938;0.0004;0.0078;0.0112;-0.0014;-0.0014;-0.0001;13416;52.59727;Infinity;156.28;80.9912;-87.7074;1.5066;1.1779;-76.2723;87.5424;352.3707;352.7263;277.6906;148.2335;359.2932;1.6251;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.4, -0.7, 0.1)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.1, -0.6, -0.3, 0.7)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.1049;-0.0976;-0.0046;80.9463;-87.2076;1.1167;1.1474;-75.7169;87.9357;9.4000;7.4313;264.0040;161.2791;0.9893;358.2845
-0.4920;0.0000;False;False;81.0291;-87.6001;-0.0039;-0.0063;-75.3304;88.0001;359.8398;0.0497;271.6666;160.9104;0.0962;359.9938;0.0000;0.0053;0.0078;-0.0014;0.0000;0.0000;13419;60.57843;Infinity;156.33;80.9912;-87.7074;1.5069;1.1784;-76.2723;87.5423;352.3715;352.7278;277.6907;148.2334;359.2933;1.6247;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.4, -0.7, 0.1)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.1, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.1466;-0.1060;-0.0046;80.9458;-87.2078;1.1169;1.1476;-75.7163;87.9367;9.5073;7.5667;263.7019;161.2262;0.7799;358.2502
-0.4920;0.0000;False;False;81.0291;-87.6001;-0.0037;-0.0061;-75.3304;88.0001;359.8398;0.0502;271.6666;160.9103;0.0963;359.9938;0.0002;0.0034;0.0053;-0.0003;-0.0006;0.0000;13422;65.43154;Infinity;156.37;80.9912;-87.7074;1.5071;1.1787;-76.2724;87.5423;352.3717;352.7285;277.6907;148.2330;359.2932;1.6246;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.1886;-0.1126;-0.0046;80.9454;-87.2081;1.1170;1.1477;-75.7156;87.9376;9.5322;7.9860;263.5876;161.1590;0.5589;358.1484
-0.4841;0.0000;False;False;81.0291;-87.6000;-0.0036;-0.0059;-75.3304;88.0000;359.8394;0.0501;271.6667;160.9093;0.0969;359.9938;0.0007;0.0021;0.0034;0.0000;-0.0020;0.0000;13425;68.48108;Infinity;156.41;80.9912;-87.7073;1.5073;1.1789;-76.2724;87.5422;352.3714;352.7285;277.6907;148.2322;359.2939;1.6246;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.4, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.2303;-0.1175;-0.0046;80.9453;-87.2083;1.1171;1.1478;-75.7142;87.9383;9.4831;8.3502;263.8458;161.1086;0.2552;358.0267
-0.5000;0.0000;False;False;81.0291;-87.6000;-0.0035;-0.0058;-75.3304;88.0000;359.8389;0.0498;271.6667;160.9090;0.0971;359.9938;0.0004;0.0012;0.0021;0.0000;-0.0013;0.0000;13428;70.15024;Infinity;156.45;80.9912;-87.7073;1.5073;1.1791;-76.2725;87.5422;352.3709;352.7282;277.6907;148.2320;359.2941;1.6246;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.6, -0.6, 0.2)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.2720;-0.1197;-0.0046;80.9453;-87.2088;1.1171;1.1478;-75.7122;87.9392;9.4049;8.5488;264.5286;161.1214;359.9416;357.9405
-0.4881;0.0000;False;False;81.0291;-87.6000;-0.0035;-0.0057;-75.3304;87.9999;359.8383;0.0490;271.6667;160.9099;0.0971;359.9938;0.0009;0.0006;0.0012;0.0000;-0.0027;0.0000;13431;70.96325;Infinity;156.49;80.9912;-87.7073;1.5074;1.1792;-76.2725;87.5421;352.3703;352.7276;277.6907;148.2320;359.2941;1.6248;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.7, -0.4)_(0.6, 0.6, -0.5, 0.2)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.3138;-0.1198;-0.0046;80.9456;-87.2092;1.1173;1.1477;-75.7095;87.9400;9.2909;8.6116;265.7936;161.2243;359.6087;357.9147
-0.4881;0.0000;False;False;81.0291;-87.6000;-0.0035;-0.0057;-75.3304;87.9997;359.8376;0.0480;271.6667;160.9105;0.0970;359.9938;0.0009;0.0002;0.0006;0.0000;-0.0027;0.0000;13434;70.97159;Infinity;156.53;80.9912;-87.7073;1.5074;1.1792;-76.2725;87.5420;352.3696;352.7267;277.6907;148.2333;359.2939;1.6250;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, -0.4)_(0.6, 0.6, -0.5, 0.2)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.3560;-0.1180;-0.0046;80.9459;-87.2096;1.1176;1.1472;-75.7069;87.9407;9.2088;8.7998;267.3468;161.3744;359.3084;357.9840
-0.4881;0.0000;False;False;81.0291;-87.5999;-0.0035;-0.0056;-75.3304;87.9996;359.8370;0.0473;271.6667;160.9100;0.0969;359.9938;0.0008;0.0000;0.0002;0.0000;-0.0025;0.0000;13437;71.19299;Infinity;156.58;80.9912;-87.7072;1.5074;1.1792;-76.2725;87.5419;352.3690;352.7259;277.6908;148.2328;359.2938;1.6252;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.7, -0.4)_(0.6, 0.6, -0.6, 0.2)_1.046027_System.String[];HandLeft_(-0.7, -0.3, -0.2)_(0.7, 0.3, -0.6, 0.3)_1.005502_System.String[];HandRight_(0.6, -0.6, -0.4)_(0.2, -0.6, -0.2, 0.8)_1.046027_System.String[];HandRight_(-0.5, -0.3, -0.1)_(-0.2, -0.7, -0.4, 0.6)_1.005502_System.String[];0.3980;-0.1148;-0.0046;80.9462;-87.2103;1.1177;1.1467;-75.7044;87.9418;9.1166;8.9265;269.0116;161.5342;359.0145;358.2145
