AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;98.1000;54.7020;-0.0139;0.0009;55.4000;-115.2019;0.0026;0.4425;214.6056;305.8757;0.0000;0.2042; ; ; ; ; ; ;358552;71.996;Infinity;4912.00;98.3167;54.2782;1.1764;1.1536;54.9146;-115.4172;352.6740;353.2803;226.9416;325.4764;358.4026;357.8287;;;HandLeft_(0.0, -0.3, 0.0)_(0.7, 0.7, -0.3, 0.0)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.4, -0.1)_(-0.2, 0.5, 0.6, -0.6)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.8)_0.9529749_System.String[];0.0000;0.0082;-0.0078;98.3903;54.3735;1.0857;1.0951;55.1354;-115.4655;354.5787;358.7202;222.0177;312.5729;357.5732;358.1997
0.0000;0.0000;False;False;98.1000;54.7019;-0.0139;0.0009;55.4000;-115.2019;0.0021;0.4419;214.6059;305.8765;0.0000;0.2037;-0.0042;-0.0003;-0.0003;0.0004;0.0020;0.0003;358555;69.13023;Infinity;4912.04;98.3167;54.2782;1.1764;1.1536;54.9146;-115.4172;352.6734;353.2799;226.9417;325.4773;358.4025;357.8282;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, 0.0)_(0.6, 0.7, -0.3, 0.2)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.4, -0.1)_(-0.1, 0.5, 0.6, -0.6)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.8)_0.9529749_System.String[];0.0459;0.0082;-0.0078;98.3910;54.3737;1.0859;1.0951;55.1347;-115.4649;354.6133;358.7741;221.7153;312.7041;357.7999;358.1152
0.0000;0.0000;False;False;98.1000;54.7017;-0.0139;0.0009;55.4000;-115.2018;0.0017;0.4409;214.6054;305.8759;0.0000;0.2035;-0.0048;-0.0002;-0.0003;-0.0008;0.0023;-0.0006;358558;70.41118;Infinity;4912.09;98.3167;54.2780;1.1763;1.1536;54.9146;-115.4171;352.6731;353.2791;226.9416;325.4769;358.4024;357.8276;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, 0.0)_(0.6, 0.7, -0.4, 0.2)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.4, -0.1)_(-0.1, 0.5, 0.6, -0.6)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.7)_0.9529749_System.String[];0.0879;0.0082;-0.0078;98.3915;54.3737;1.0862;1.0951;55.1341;-115.4645;354.7281;358.8148;221.6789;312.8215;357.9160;358.0655
0.0000;0.0000;False;False;98.1000;54.7014;-0.0139;0.0008;55.3999;-115.2016;0.0014;0.4402;214.6056;305.8766;0.0000;0.2034;-0.0084;-0.0002;-0.0003;0.0005;0.0049;0.0004;358561;71.1853;Infinity;4912.13;98.3167;54.2778;1.1763;1.1536;54.9145;-115.4169;352.6727;353.2785;226.9414;325.4771;358.4023;357.8272;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, 0.0)_(0.6, 0.7, -0.4, 0.1)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.1)_(-0.1, 0.5, 0.6, -0.6)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.7)_0.9529749_System.String[];0.1294;0.0082;-0.0078;98.3915;54.3736;1.0861;1.0951;55.1337;-115.4641;354.9208;358.7824;221.7547;312.9362;357.9439;358.0105
0.0000;0.0000;False;False;98.1000;54.7010;-0.0139;0.0008;55.3999;-115.2014;0.0012;0.4393;214.6056;305.8774;0.0000;0.2034;-0.0113;-0.0002;-0.0003;0.0001;0.0069;0.0001;358564;71.3502;Infinity;4912.17;98.3167;54.2774;1.1763;1.1536;54.9145;-115.4167;352.6725;353.2776;226.9414;325.4784;358.4023;357.8269;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.1)_(0.5, 0.7, -0.5, 0.1)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.1)_(-0.1, 0.5, 0.6, -0.6)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.7)_0.9529749_System.String[];0.1714;0.0082;-0.0078;98.3913;54.3733;1.0859;1.0951;55.1334;-115.4638;355.1608;358.6952;221.8052;312.9869;357.9368;357.9943
0.0000;0.0000;False;False;98.1000;54.7004;-0.0139;0.0008;55.3999;-115.2010;0.0010;0.4385;214.6065;305.8769;0.0000;0.2034;-0.0132;-0.0002;-0.0003;-0.0007;0.0083;-0.0005;358567;71.44941;Infinity;4912.21;98.3166;54.2769;1.1763;1.1536;54.9145;-115.4164;352.6723;353.2768;226.9427;325.4781;358.4023;357.8266;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.1)_(0.5, 0.7, -0.5, 0.1)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.2)_(-0.1, 0.4, 0.6, -0.7)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.8)_0.9529749_System.String[];0.2134;0.0082;-0.0078;98.3908;54.3729;1.0858;1.0951;55.1330;-115.4639;355.3283;358.6365;221.7455;312.9965;357.9600;357.9773
0.0000;0.0000;False;False;98.0999;54.6998;-0.0139;0.0008;55.3999;-115.2007;0.0009;0.4380;214.6060;305.8768;0.0000;0.2035;-0.0151;-0.0001;-0.0003;0.0002;0.0097;0.0001;358570;71.48296;Infinity;4912.25;98.3166;54.2763;1.1763;1.1536;54.9145;-115.4161;352.6721;353.2763;226.9417;325.4776;358.4022;357.8264;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.1)_(0.5, 0.7, -0.5, 0.1)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.2)_(-0.2, 0.4, 0.6, -0.7)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.7)_0.9529749_System.String[];0.2554;0.0082;-0.0078;98.3907;54.3722;1.0858;1.0951;55.1325;-115.4638;355.3571;358.5852;221.6502;312.9789;357.9787;358.0085
0.0000;0.0000;False;False;98.0999;54.6991;-0.0139;0.0008;55.3999;-115.2002;0.0007;0.4376;214.6066;305.8776;0.0000;0.2035;-0.0182;-0.0001;-0.0003;-0.0006;0.0119;-0.0004;358573;71.2765;Infinity;4912.30;98.3166;54.2757;1.1763;1.1536;54.9145;-115.4156;352.6720;353.2759;226.9424;325.4787;358.4022;357.8264;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.1)_(0.5, 0.6, -0.6, 0.0)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.2)_(-0.1, 0.5, 0.5, -0.7)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.7)_0.9529749_System.String[];0.2974;0.0082;-0.0078;98.3907;54.3713;1.0864;1.0950;55.1320;-115.4637;355.0752;358.5634;221.5448;312.9368;358.0305;358.0716
0.0000;0.0000;False;False;98.0999;54.6984;-0.0139;0.0008;55.3999;-115.1997;0.0007;0.4374;214.6073;305.8775;0.0000;0.2036;-0.0183;-0.0001;-0.0002;-0.0005;0.0120;-0.0003;358576;71.62666;Infinity;4912.34;98.3166;54.2749;1.1763;1.1536;54.9145;-115.4152;352.6720;353.2756;226.9427;325.4790;358.4022;357.8263;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.1)_(0.6, 0.6, -0.6, 0.0)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.2)_(0.0, 0.5, 0.5, -0.7)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.8)_0.9529749_System.String[];0.3389;0.0082;-0.0078;98.3908;54.3702;1.0880;1.0950;55.1319;-115.4635;354.2932;358.5588;221.4784;312.8838;358.0940;358.1506
0.0000;0.0000;False;False;98.0999;54.6975;-0.0139;0.0008;55.3999;-115.1991;0.0008;0.4371;214.6077;305.8779;0.0000;0.2036;-0.0212;-0.0001;-0.0003;-0.0004;0.0140;-0.0003;358579;71.24239;Infinity;4912.38;98.3166;54.2741;1.1763;1.1535;54.9145;-115.4146;352.6720;353.2753;226.9442;325.4789;358.4022;357.8263;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.1)_(0.6, 0.5, -0.6, 0.0)_0.9540219_System.String[];HandLeft_(0.0, -0.6, -0.1)_(0.4, 0.2, -0.1, 0.9)_0.9529749_System.String[];HandRight_(0.2, -0.3, -0.2)_(0.0, 0.5, 0.5, -0.7)_0.9540219_System.String[];HandRight_(0.1, -0.6, -0.2)_(0.5, 0.4, 0.0, -0.8)_0.9529749_System.String[];0.3813;0.0082;-0.0078;98.3913;54.3692;1.0896;1.0950;55.1322;-115.4631;353.2825;358.5966;221.4616;312.8319;358.1682;358.2344
