AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;-0.0595;False;False;81.0080;-87.2689;-0.0804;-0.0934;-75.1189;-85.5397;359.5123;359.6579;273.3834;77.1634;0.1642;-0.0005; ; ; ; ; ; ;133517;71.96894;Infinity;1182.31;80.4174;-87.1284;1.2077;1.1257;-76.1456;-85.2010;352.1112;352.1828;283.8351;72.3004;358.7157;0.6625;;;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.0000;0.0345;0.0041;80.6460;-87.0868;1.0525;1.0144;-75.5356;-85.1055;1.6782;342.5837;272.4007;69.6630;8.6905;1.7657
0.0000;-0.0595;False;False;81.0081;-87.2690;-0.0699;-0.0828;-75.1190;-85.5398;359.5412;359.6864;273.3868;77.1634;0.1613;-0.0005;0.0019;0.2250;0.2263;-0.0023;0.0004;-0.0006;133520;65.49261;Infinity;1182.36;80.4170;-87.1280;1.2169;1.1349;-76.1456;-85.2009;352.1325;352.2041;283.8369;72.3007;358.7170;0.6607;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.6, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.0521;0.0345;0.0041;80.6456;-87.0865;1.0622;1.0236;-75.5358;-85.1055;1.6721;342.6069;272.4615;69.6585;8.6557;1.7566
0.0000;-0.0595;False;False;81.0083;-87.2691;-0.0600;-0.0728;-75.1191;-85.5398;359.5783;359.7224;273.3902;77.1635;0.1588;-0.0005;0.0024;0.2401;0.2431;-0.0024;0.0006;-0.0010;133523;68.45735;Infinity;1182.40;80.4163;-87.1274;1.2264;1.1447;-76.1456;-85.2008;352.1667;352.2374;283.8401;72.3011;358.7208;0.6578;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.0940;0.0330;0.0041;80.6460;-87.0859;1.0725;1.0333;-75.5360;-85.1053;1.6090;342.6301;272.5465;69.6563;8.6297;1.7577
0.0000;-0.0595;False;False;81.0086;-87.2692;-0.0502;-0.0629;-75.1193;-85.5398;359.6209;359.7637;273.3947;77.1635;0.1565;-0.0005;0.0026;0.2237;0.2276;-0.0024;0.0006;-0.0009;133526;70.14648;Infinity;1182.44;80.4156;-87.1267;1.2360;1.1546;-76.1456;-85.2007;352.2077;352.2773;283.8433;72.3016;358.7260;0.6544;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.1356;0.0285;0.0041;80.6463;-87.0853;1.0825;1.0432;-75.5363;-85.1052;1.5027;342.6617;272.6289;69.6572;8.6186;1.7707
0.0000;-0.0595;False;False;81.0088;-87.2693;-0.0411;-0.0537;-75.1194;-85.5398;359.6641;359.8059;273.3981;77.1635;0.1546;-0.0005;0.0025;0.1999;0.2038;-0.0023;0.0006;-0.0005;133529;71.03183;Infinity;1182.48;80.4148;-87.1260;1.2450;1.1639;-76.1456;-85.2005;352.2507;352.3193;283.8464;72.3021;358.7319;0.6508;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.1772;0.0227;0.0041;80.6467;-87.0847;1.0918;1.0525;-75.5365;-85.1050;1.3768;342.6870;272.6624;69.6559;8.6525;1.7968
0.0000;-0.0595;False;False;81.0091;-87.2695;-0.0332;-0.0456;-75.1195;-85.5399;359.7050;359.8459;273.4031;77.1636;0.1530;-0.0005;0.0023;0.1725;0.1761;-0.0024;0.0005;0.0019;133532;71.50083;Infinity;1182.52;80.4140;-87.1253;1.2529;1.1722;-76.1456;-85.2003;352.2922;352.3601;283.8500;72.3026;358.7379;0.6473;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.2190;0.0179;0.0041;80.6472;-87.0840;1.0999;1.0608;-75.5364;-85.1049;1.3170;342.7098;272.6371;69.6500;8.6898;1.8049
0.0000;-0.0595;False;False;81.0094;-87.2696;-0.0264;-0.0387;-75.1196;-85.5399;359.7419;359.8818;273.4069;77.1636;0.1516;-0.0005;0.0020;0.1448;0.1480;-0.0022;0.0005;0.0012;133535;71.74049;Infinity;1182.57;80.4134;-87.1246;1.2598;1.1794;-76.1455;-85.2002;352.3303;352.3974;283.8537;72.3030;358.7435;0.6441;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.3, 0.9)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.2606;0.0172;0.0041;80.6481;-87.0834;1.1068;1.0679;-75.5360;-85.1048;1.3939;342.7404;272.7057;69.6446;8.6054;1.8136
0.0000;-0.0595;False;False;81.0096;-87.2697;-0.0208;-0.0330;-75.1197;-85.5399;359.7737;359.9131;273.4097;77.1636;0.1506;-0.0005;0.0017;0.1189;0.1216;-0.0021;0.0004;0.0008;133538;71.62263;Infinity;1182.61;80.4128;-87.1241;1.2655;1.1854;-76.1456;-85.2000;352.3636;352.4303;283.8557;72.3034;358.7485;0.6413;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.4, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.3026;0.0172;0.0041;80.6493;-87.0829;1.1124;1.0738;-75.5358;-85.1046;1.6063;342.7696;272.8934;69.6479;8.2843;1.8158
0.0000;-0.0595;False;False;81.0098;-87.2698;-0.0163;-0.0283;-75.1198;-85.5400;359.8001;359.9391;273.4130;77.1636;0.1498;-0.0005;0.0014;0.0957;0.0980;-0.0019;0.0003;0.0008;133541;71.47767;Infinity;1182.65;80.4124;-87.1236;1.2701;1.1903;-76.1456;-85.1999;352.3915;352.4580;283.8588;72.3037;358.7528;0.6389;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.4, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.3446;0.0172;0.0041;80.6507;-87.0825;1.1174;1.0787;-75.5350;-85.1046;1.8129;342.7862;273.0923;69.6855;7.8489;1.7884
0.0000;-0.0595;False;False;81.0100;-87.2699;-0.0127;-0.0247;-75.1199;-85.5400;359.8214;359.9601;273.4155;77.1636;0.1491;-0.0005;0.0011;0.0757;0.0776;-0.0019;0.0003;0.0021;133544;71.2047;Infinity;1182.69;80.4120;-87.1232;1.2738;1.1942;-76.1456;-85.1998;352.4141;352.4805;283.8611;72.3040;358.7563;0.6370;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.3, -0.5, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.6, 0.5, -0.5, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.0, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.3870;0.0172;0.0041;80.6531;-87.0821;1.1213;1.0825;-75.5346;-85.1045;1.9100;342.7993;273.3298;69.7608;7.2897;1.7492
