AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;82.2000;107.3999;-0.0218;-0.0206;25.1999;69.6999;359.9695;359.9761;208.4238;217.2918;0.0000;0.0000; ; ; ; ; ; ;122779;71.91001;Infinity;1032.45;82.8721;107.5052;1.2663;1.1985;24.2230;69.3445;352.5883;352.4984;218.8855;212.4323;358.6355;0.6359;;;HandLeft_(0.5, -0.3, 0.0)_(0.9, 0.3, -0.3, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.3, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.0000;0.0071;-0.0064;82.4865;107.5342;1.0965;1.0950;24.8288;69.2600;351.3757;347.2622;211.7947;217.4097;6.3598;359.7725
0.0000;0.0000;False;False;82.2000;107.4000;-0.0193;-0.0184;25.1999;69.6999;359.9835;359.9883;208.4247;217.2925;0.0000;0.0000;-0.0008;0.0463;0.0404;-0.0018;-0.0011;-0.0010;122782;68.12421;Infinity;1032.50;82.8720;107.5051;1.2689;1.2008;24.2227;69.3443;352.6035;352.5120;218.8855;212.4331;358.6384;0.6348;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.9, 0.3, -0.3, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.0476;0.0071;-0.0064;82.4862;107.5338;1.0999;1.0974;24.8286;69.2599;351.3723;347.2358;211.8685;217.0708;6.1905;359.7928
0.0000;0.0000;False;False;82.1999;107.4000;-0.0176;-0.0170;25.1999;69.6999;359.9923;-0.0043;208.4240;217.2929;0.0000;0.0000;-0.0003;0.0350;0.0302;-0.0018;-0.0004;-0.0010;122785;69.80732;Infinity;1032.54;82.8719;107.5049;1.2706;1.2023;24.2225;69.3442;352.6132;352.5201;218.8847;212.4336;358.6402;0.6341;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.3, 0.0)_(0.9, 0.3, -0.3, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.0895;0.0071;-0.0064;82.4856;107.5335;1.1025;1.0990;24.8283;69.2599;351.3608;347.2562;211.9950;216.8390;5.9207;359.8102
0.0000;0.0000;False;False;82.1999;107.4000;-0.0165;-0.0160;25.1999;69.6999;-0.0014;0.0009;208.4243;217.2914;0.0000;0.0000;-0.0004;0.0260;0.0223;-0.0018;-0.0006;-0.0010;122788;70.85757;Infinity;1032.58;82.8718;107.5049;1.2718;1.2034;24.2224;69.3441;352.6201;352.5260;218.8848;212.4330;358.6414;0.6336;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.1311;0.0071;-0.0064;82.4848;107.5334;1.1045;1.1001;24.8279;69.2598;351.3437;347.3007;212.1547;216.6400;5.5961;359.8198
0.0000;0.0000;False;False;82.1999;107.4000;-0.0156;-0.0153;25.1999;69.7000;0.0026;0.0043;208.4260;217.2914;0.0000;0.0000;0.0001;0.0162;0.0137;-0.0007;0.0002;-0.0004;122791;71.41624;Infinity;1032.62;82.8717;107.5048;1.2727;1.2042;24.2222;69.3441;352.6247;352.5299;218.8864;212.4322;358.6423;0.6332;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.3, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.8421519_System.String[];0.1727;0.0071;-0.0064;82.4837;107.5333;1.1059;1.1009;24.8275;69.2599;351.3719;347.3640;212.3222;216.4794;5.2719;359.8065
0.0000;0.0000;False;False;82.1999;107.4000;-0.0150;-0.0148;25.1998;69.7000;0.0051;0.0061;208.4279;217.2921;0.0000;0.0000;-0.0010;0.0115;0.0096;-0.0012;-0.0013;-0.0007;122794;71.58229;Infinity;1032.66;82.8716;107.5048;1.2734;1.2048;24.2221;69.3440;352.6276;352.5323;218.8882;212.4329;358.6429;0.6330;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.4, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.2, -0.3, -0.4, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.2146;0.0071;-0.0064;82.4826;107.5330;1.1070;1.1015;24.8272;69.2600;351.4904;347.4007;212.4809;216.3959;5.0099;359.7659
0.0000;0.0000;False;False;82.1999;107.4000;-0.0146;-0.0144;25.1998;69.6999;0.0064;0.0068;208.4265;217.2914;0.0000;0.0000;0.0002;0.0080;0.0066;-0.0006;0.0003;-0.0003;122797;71.13022;Infinity;1032.71;82.8716;107.5048;1.2739;1.2052;24.2221;69.3440;352.6292;352.5332;218.8876;212.4323;358.6432;0.6329;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.4, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.3)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.0, -0.3, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.2571;0.0071;-0.0064;82.4818;107.5326;1.1081;1.1019;24.8272;69.2599;351.6134;347.4228;212.6733;216.3974;4.7666;359.7250
0.0000;0.0000;False;False;82.1999;107.3999;-0.0143;-0.0142;25.1998;69.6999;0.0070;0.0069;208.4249;217.2906;0.0000;0.0000;-0.0011;0.0054;0.0044;0.0004;-0.0014;0.0002;122800;71.55047;Infinity;1032.75;82.8716;107.5048;1.2742;1.2055;24.2220;69.3439;352.6300;352.5336;218.8861;212.4321;358.6433;0.6329;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.4, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.0, -0.3, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.2987;0.0071;-0.0064;82.4806;107.5323;1.1089;1.1023;24.8272;69.2597;351.6483;347.4342;212.8854;216.4613;4.5332;359.6940
0.0000;0.0000;False;False;82.1999;107.3999;-0.0141;-0.0140;25.1997;69.6998;0.0069;0.0066;208.4247;217.2906;0.0000;0.0000;-0.0004;0.0035;0.0028;-0.0018;-0.0006;-0.0010;122803;71.77363;Infinity;1032.79;82.8716;107.5047;1.2744;1.2057;24.2220;69.3439;352.6302;352.5334;218.8853;212.4314;358.6433;0.6329;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.8, 0.4, -0.5, -0.2)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.3403;0.0071;-0.0064;82.4795;107.5320;1.1098;1.1025;24.8276;69.2596;351.5951;347.4467;213.1611;216.5440;4.2409;359.6797
0.0000;0.0000;False;False;82.1998;107.3999;-0.0140;-0.0139;25.1997;69.6998;0.0064;0.0063;208.4253;217.2909;0.0000;0.0000;0.0002;0.0022;0.0017;-0.0012;0.0002;-0.0007;122806;71.59438;Infinity;1032.83;82.8715;107.5047;1.2746;1.2058;24.2220;69.3439;352.6297;352.5331;218.8862;212.4319;358.6432;0.6330;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.5, -0.4, 0.0)_(0.7, 0.4, -0.6, -0.1)_1.020653_System.String[];HandLeft_(-0.2, -0.4, -0.2)_(0.9, 0.4, -0.1, 0.2)_0.8421519_System.String[];HandRight_(0.8, -0.4, -0.1)_(0.1, -0.4, -0.5, 0.8)_1.020653_System.String[];HandRight_(0.1, -0.4, -0.2)_(-0.2, -0.6, -0.5, 0.5)_0.8421519_System.String[];0.3824;0.0071;-0.0064;82.4784;107.5317;1.1106;1.1026;24.8280;69.2592;351.5374;347.4601;213.4648;216.6119;3.9260;359.6794
