AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB
0.0000;0.0000;False;False;81.0089;81.0089;-0.0040;-0.0040;-75.3204;-75.3204;359.8184;359.8184;275.6130;275.6130;0.0674;0.0674; ; ; ; ; ; ;41864;71.46719;179.01;80.8657;-86.2801;1.1821;1.1531;-75.1568;-84.9259;352.3847;352.5411;268.5173;72.3099;1.0124;0.7697;;;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.2)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.4, -0.4)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.0000;0.0087;0.0085
0.0000;0.0036;False;False;81.0090;81.0090;-0.0040;-0.0040;-75.3205;-75.3205;359.8186;359.8186;275.6171;275.6171;0.0665;0.0665;-0.0013;0.0000;0.0000;-0.0012;-0.0012;-0.0013;41865;32.30801;179.11;80.8657;-86.2801;1.1821;1.1531;-75.1568;-84.9259;352.3847;352.5411;268.5173;72.3099;1.0124;0.7697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.0988;0.0087;0.0085
0.0000;0.0843;False;False;81.0090;81.0090;-0.0040;-0.0040;-75.3206;-75.3206;359.8186;359.8186;275.6199;275.6199;0.0664;0.0664;0.0019;0.0000;0.0000;-0.0016;-0.0016;0.0019;41870;51.32999;179.18;80.8658;-86.2800;1.1821;1.1531;-75.1570;-84.9259;352.3847;352.5410;268.5243;72.3097;1.0114;0.7697;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.7, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.1682;0.0087;0.0085
0.0000;0.2320;False;False;81.0092;81.0092;-0.0040;-0.0040;-75.3207;-75.3207;359.8186;359.8186;275.6236;275.6236;0.0665;0.0665;0.0009;0.0000;0.0000;-0.0015;-0.0015;0.0009;41875;63.56823;179.25;80.8660;-86.2793;1.1821;1.1531;-75.1571;-84.9257;352.3849;352.5392;268.5269;72.3099;1.0115;0.7699;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.7, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.7, 0.4, -0.6)_1.047805_System.String[];0.2378;0.0087;0.0085
0.0000;0.3025;False;False;81.0093;81.0093;-0.0040;-0.0040;-75.3208;-75.3208;359.8186;359.8186;275.6262;275.6262;0.0666;0.0666;0.0025;0.0000;0.0000;-0.0016;-0.0016;0.0025;41880;68.83598;179.32;80.8661;-86.2766;1.1821;1.1531;-75.1572;-84.9252;352.3849;352.5334;268.5297;72.3112;1.0116;0.7706;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.3, -0.5)_(-0.7, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.7, 0.4, -0.6)_1.047805_System.String[];0.3074;0.0087;0.0085
0.0000;0.3383;False;False;81.0095;81.0095;-0.0040;-0.0040;-75.3209;-75.3209;359.8188;359.8188;275.6300;275.6300;0.0667;0.0667;0.0017;0.0000;0.0000;-0.0016;-0.0016;0.0017;41885;70.90199;179.39;80.8663;-86.2706;1.1821;1.1531;-75.1573;-84.9240;352.3850;352.5248;268.5335;72.3113;1.0117;0.7716;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.7, 0.4, -0.6)_1.047805_System.String[];0.3769;0.0085;0.0085
0.0000;0.3622;False;False;81.0098;81.0098;-0.0040;-0.0040;-75.3211;-75.3211;359.8187;359.8187;275.6343;275.6343;0.0668;0.0668;0.0035;0.0000;0.0000;-0.0017;-0.0017;0.0035;41890;71.28183;179.46;80.8665;-86.2610;1.1821;1.1531;-75.1574;-84.9220;352.3849;352.5153;268.5384;72.3140;1.0118;0.7727;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.2)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.7, 0.4, -0.6)_1.047805_System.String[];0.4468;0.0080;0.0085
0.0000;0.3810;False;False;81.0100;81.0100;-0.0040;-0.0040;-75.3212;-75.3212;359.8187;359.8187;275.6367;275.6367;0.0668;0.0668;0.0049;0.0000;0.0000;-0.0019;-0.0019;0.0049;41895;71.53194;179.53;80.8668;-86.2473;1.1821;1.1531;-75.1575;-84.9192;352.3849;352.5066;268.5402;72.3161;1.0118;0.7736;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.2)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.7, 0.4, -0.6)_1.047805_System.String[];0.5166;0.0078;0.0085
0.0000;0.4004;False;False;81.0103;81.0103;-0.0040;-0.0040;-75.3213;-75.3213;359.8184;359.8184;275.6413;275.6413;0.0668;0.0668;0.0029;0.0000;0.0000;-0.0017;-0.0017;0.0029;41900;71.80389;179.60;80.8671;-86.2296;1.1821;1.1531;-75.1577;-84.9156;352.3847;352.4990;268.5449;72.3187;1.0118;0.7745;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.5862;0.0078;0.0085
0.0000;0.4132;False;False;81.0107;81.0107;-0.0040;-0.0040;-75.3214;-75.3214;359.8185;359.8185;275.6455;275.6455;0.0668;0.0668;0.0053;0.0000;0.0000;-0.0019;-0.0019;0.0053;41905;71.57058;179.67;80.8675;-86.2074;1.1821;1.1531;-75.1578;-84.9110;352.3848;352.4926;268.5487;72.3219;1.0118;0.7752;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.6561;0.0078;0.0085
0.0000;0.4124;False;False;81.0111;81.0111;-0.0040;-0.0040;-75.3216;-75.3216;359.8186;359.8186;275.6500;275.6500;0.0668;0.0668;0.0072;0.0000;0.0000;-0.0021;-0.0021;0.0072;41910;71.51824;179.74;80.8679;-86.1806;1.1821;1.1530;-75.1579;-84.9056;352.3848;352.4872;268.5537;72.3258;1.0118;0.7758;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.2)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.7, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.7260;0.0078;0.0085
0.0000;0.4068;False;False;81.0115;81.0115;-0.0040;-0.0040;-75.3217;-75.3217;359.8185;359.8185;275.6528;275.6528;0.0667;0.0667;0.0047;0.0000;0.0000;-0.0018;-0.0018;0.0047;41915;71.72483;179.80;80.8683;-86.1494;1.1821;1.1530;-75.1580;-84.8992;352.3848;352.4832;268.5566;72.3304;1.0117;0.7763;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.7, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.7956;0.0078;0.0085
0.0000;0.4129;False;False;81.0120;81.0120;-0.0040;-0.0040;-75.3219;-75.3219;359.8187;359.8187;275.6564;275.6564;0.0667;0.0667;0.0084;0.0000;0.0000;-0.0022;-0.0022;0.0084;41920;71.84041;179.87;80.8688;-86.1138;1.1821;1.1530;-75.1582;-84.8919;352.3848;352.4803;268.5600;72.3356;1.0117;0.7766;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.8652;0.0078;0.0085
0.0000;0.4222;False;False;81.0125;81.0125;-0.0040;-0.0040;-75.3220;-75.3220;359.8185;359.8185;275.6580;275.6580;0.0666;0.0666;0.0074;0.0000;0.0000;-0.0021;-0.0021;0.0074;41925;71.70387;179.94;80.8693;-86.0737;1.1821;1.1530;-75.1583;-84.8837;352.3847;352.4782;268.5620;72.3414;1.0116;0.7769;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];0.9349;0.0078;0.0085
0.0000;0.4291;False;False;81.0131;81.0131;-0.0040;-0.0040;-75.3222;-75.3222;359.8184;359.8184;275.6605;275.6605;0.0666;0.0666;0.0080;0.0000;0.0000;-0.0022;-0.0022;0.0080;41930;71.63035;180.01;80.8699;-86.0291;1.1821;1.1530;-75.1585;-84.8746;352.3847;352.4765;268.5646;72.3479;1.0116;0.7771;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.6, -0.3, -0.3)_(0.6, 0.4, -0.6, 0.1)_1.01875_System.String[];HandLeft_(-0.6, -0.4, -0.5)_(-0.6, -0.4, 0.6, 0.1)_1.047805_System.String[];HandRight_(-0.4, -0.3, -0.3)_(0.1, 0.7, 0.4, -0.6)_1.01875_System.String[];HandRight_(-0.4, -0.4, -0.5)_(-0.2, 0.6, 0.4, -0.6)_1.047805_System.String[];1.0047;0.0078;0.0085
