AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0244;0.0000;False;False;81.2388;79.6699;-0.0050;0.1061;-75.3998;87.9400;359.7764;0.0013;278.9333;241.9098;0.0114;-0.0001; ; ; ; ; ; ;138998;71.83804;Infinity;1889.06;80.9374;79.8034;1.2169;1.4291;-75.7377;87.0937;352.2769;352.5131;279.6393;245.1444;359.9165;359.5780;;;HandLeft_(-0.2, -0.4, -0.2)_(0.8, 0.3, -0.4, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.0000;-0.0294;0.0094;80.9172;79.7065;1.1068;1.1501;-75.7459;87.5144;357.1628;356.8572;251.6243;213.9356;357.9322;353.4434
0.0239;0.0000;False;False;81.2387;79.6699;-0.0050;0.1061;-75.3998;87.9400;359.7763;0.0013;278.9342;241.9106;0.0114;-0.0001;0.0000;0.0000;0.0000;0.0003;0.0000;-0.0023;138999;41.20771;Infinity;1889.13;80.9374;79.8034;1.2169;1.4291;-75.7377;87.0937;352.2769;352.5131;279.6393;245.1444;359.9165;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.8, 0.3, -0.4, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.0656;-0.0294;0.0094;80.9150;79.7024;1.1069;1.1496;-75.7499;87.5170;357.1418;356.8015;248.1949;215.5696;358.8606;352.6371
0.0214;0.0000;False;False;81.2386;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7760;0.0015;278.9348;241.9100;0.0114;-0.0001;0.0006;0.0000;0.0000;0.0006;0.0003;-0.0048;139002;52.07436;Infinity;1889.17;80.9372;79.8034;1.2169;1.4291;-75.7376;87.0937;352.2766;352.5133;279.6406;245.1449;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.8, 0.3, -0.4, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.1073;-0.0294;0.0094;80.9147;79.7014;1.1068;1.1496;-75.7521;87.5181;357.1401;356.7140;246.5397;216.1019;359.3626;352.5982
0.0188;0.0000;False;False;81.2383;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7756;0.0014;278.9348;241.9097;0.0114;-0.0001;-0.0009;0.0000;0.0000;0.0007;-0.0005;-0.0051;139005;60.2038;Infinity;1889.21;80.9370;79.8035;1.2169;1.4291;-75.7376;87.0937;352.2761;352.5133;279.6408;245.1441;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.8, 0.3, -0.4, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.1489;-0.0294;0.0094;80.9154;79.7011;1.1065;1.1500;-75.7564;87.5191;357.2235;356.5276;243.2751;216.8121;0.3345;352.7606
0.0169;0.0000;False;False;81.2381;79.6699;-0.0050;0.1061;-75.3997;87.9400;359.7753;0.0013;278.9350;241.9105;0.0114;-0.0001;0.0002;0.0000;0.0000;0.0009;0.0001;-0.0067;139008;65.22804;Infinity;1889.25;80.9367;79.8034;1.2169;1.4291;-75.7376;87.0937;352.2758;352.5131;279.6411;245.1451;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.8, 0.3, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.1909;-0.0294;0.0094;80.9168;79.7012;1.1058;1.1507;-75.7617;87.5202;357.4789;356.2867;239.2853;217.6434;1.5166;353.0804
0.0156;0.0000;False;False;81.2378;79.6700;-0.0050;0.1061;-75.3997;87.9400;359.7752;0.0014;278.9362;241.9105;0.0114;-0.0001;0.0003;0.0000;0.0000;0.0011;0.0002;-0.0080;139011;68.37097;Infinity;1889.30;80.9365;79.8035;1.2169;1.4291;-75.7375;87.0937;352.2758;352.5132;279.6416;245.1451;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.2)_(0.8, 0.3, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.2325;-0.0294;0.0094;80.9185;79.7021;1.1049;1.1517;-75.7671;87.5213;357.9694;355.9378;235.2278;218.5863;2.6721;353.5650
0.0146;0.0000;False;False;81.2374;79.6700;-0.0050;0.1061;-75.3996;87.9400;359.7751;0.0013;278.9363;241.9108;0.0114;-0.0001;-0.0002;0.0000;0.0000;0.0012;-0.0001;-0.0089;139014;70.09271;Infinity;1889.34;80.9361;79.8035;1.2169;1.4291;-75.7375;87.0937;352.2755;352.5132;279.6424;245.1453;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.8, 0.3, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.2742;-0.0294;0.0094;80.9200;79.7031;1.1040;1.1526;-75.7720;87.5222;358.5986;355.5302;231.6306;219.3916;3.7015;354.0515
0.0138;0.0000;False;False;81.2369;79.6700;-0.0050;0.1061;-75.3996;87.9400;359.7747;0.0013;278.9367;241.9096;0.0113;-0.0001;0.0004;0.0000;0.0000;0.0017;0.0002;-0.0125;139017;71.01074;Infinity;1889.38;80.9357;79.8034;1.2169;1.4291;-75.7374;87.0937;352.2754;352.5131;279.6427;245.1447;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.5, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.3158;-0.0297;0.0094;80.9214;79.7046;1.1031;1.1539;-75.7763;87.5231;359.2868;354.9750;228.7591;220.1052;4.5560;354.6859
0.0133;0.0000;False;False;81.2365;79.6699;-0.0050;0.1061;-75.3995;87.9400;359.7749;0.0012;278.9365;241.9103;0.0113;-0.0001;-0.0007;0.0000;0.0000;0.0017;-0.0003;-0.0122;139020;71.02211;Infinity;1889.42;80.9352;79.8035;1.2169;1.4291;-75.7374;87.0937;352.2753;352.5131;279.6428;245.1445;359.9164;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.5, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.3582;-0.0303;0.0094;80.9225;79.7068;1.1020;1.1553;-75.7798;87.5238;-0.0057;354.3400;226.6770;220.6718;5.2588;355.3932
0.0129;0.0000;False;False;81.2360;79.6699;-0.0050;0.1061;-75.3994;87.9400;359.7749;0.0012;278.9351;241.9109;0.0113;-0.0001;0.0001;0.0000;0.0000;0.0016;0.0000;-0.0115;139023;71.45461;Infinity;1889.46;80.9348;79.8034;1.2169;1.4291;-75.7373;87.0937;352.2753;352.5130;279.6415;245.1452;359.9163;359.5780;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.5, -0.3)_(0.7, 0.4, -0.5, 0.1)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.7, 0.4, -0.6, -0.1)_0.9545652_System.String[];HandRight_(0.1, -0.5, -0.2)_(-0.2, -0.6, -0.5, 0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(0.1, -0.6, -0.4, 0.7)_0.9545652_System.String[];0.3999;-0.0309;0.0094;80.9231;79.7089;1.1013;1.1564;-75.7826;87.5241;0.5688;353.7655;225.3901;221.0042;5.8007;356.1143
