AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;-86.5000;54.0003;0.0356;0.0126;-65.0998;77.4030;359.9524;359.8859;359.5096;187.2493;0.0000;0.0064; ; ; ; ; ; ;156021;71.9234;Infinity;2126.99;-86.8824;54.7684;1.2557;1.3332;-64.8541;77.0252;352.4465;352.3862;0.2168;190.4839;359.9070;359.5778;;;HandLeft_(-0.1, -0.7, -0.1)_(0.4, 0.3, -0.5, 0.7)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.6, 0.4, -0.7)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.0000;0.0396;-0.0218;-86.8957;54.3570;1.1406;1.0666;-64.8811;77.2168;357.8619;354.1122;6.3905;187.3689;0.3165;357.9778
0.0000;0.0000;False;False;-86.5000;54.0003;0.0387;0.0213;-65.0998;77.4031;359.9705;359.9203;359.5095;187.2486;0.0000;0.0049;-0.0003;0.0593;0.1681;0.0023;-0.0008;0.0000;156024;68.41203;Infinity;2127.04;-86.8824;54.7682;1.2591;1.3423;-64.8537;77.0245;352.4663;352.4225;0.2168;190.4834;359.9073;359.5783;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.4, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.6, 0.4, -0.7)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.0471;0.0395;-0.0220;-86.8953;54.3569;1.1441;1.0757;-64.8812;77.2163;357.8474;354.2228;6.7708;187.2131;0.0505;357.9727
0.0000;0.0000;False;False;-86.5000;54.0003;0.0409;0.0275;-65.0998;77.4032;359.9829;359.9456;359.5093;187.2489;0.0000;0.0039;-0.0004;0.0456;0.1358;0.0002;-0.0017;0.0000;156027;69.56655;Infinity;2127.08;-86.8824;54.7681;1.2613;1.3489;-64.8535;77.0240;352.4797;352.4495;0.2160;190.4836;359.9075;359.5788;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.4, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.6, 0.4, -0.7)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.0896;0.0395;-0.0226;-86.8941;54.3568;1.1465;1.0823;-64.8813;77.2160;357.8048;354.2729;7.4028;187.1085;359.8605;357.9796
0.0000;0.0000;False;False;-86.5000;54.0003;0.0424;0.0324;-65.0999;77.4032;359.9918;359.9652;359.5110;187.2478;0.0000;0.0031;-0.0005;0.0346;0.1078;-0.0002;-0.0034;0.0000;156030;70.73852;Infinity;2127.12;-86.8824;54.7681;1.2630;1.3540;-64.8533;77.0236;352.4897;352.4709;0.2178;190.4826;359.9076;359.5791;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.4, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.6, 0.4, -0.7)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.1313;0.0395;-0.0234;-86.8925;54.3567;1.1482;1.0875;-64.8813;77.2156;357.8253;354.3094;8.4525;187.0362;359.6478;357.9753
0.0000;0.0000;False;False;-86.5000;54.0003;0.0436;0.0361;-65.0999;77.4032;-0.0020;359.9802;359.5109;187.2476;0.0000;0.0024;-0.0003;0.0221;0.0739;-0.0009;-0.0019;0.0000;156033;71.08672;Infinity;2127.16;-86.8824;54.7680;1.2643;1.3580;-64.8531;77.0232;352.4966;352.4873;0.2183;190.4819;359.9077;359.5793;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.4, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.6, 0.4, -0.7)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.1733;0.0395;-0.0246;-86.8899;54.3567;1.1495;1.0912;-64.8813;77.2152;358.0111;354.3667;9.9748;186.9801;359.3709;357.9597
0.0000;0.0000;False;False;-86.5000;54.0003;0.0444;0.0390;-65.0998;77.4032;0.0021;359.9915;359.5118;187.2472;0.0000;0.0019;-0.0002;0.0161;0.0564;0.0004;-0.0012;0.0000;156036;71.22838;Infinity;2127.20;-86.8824;54.7680;1.2652;1.3611;-64.8530;77.0229;352.5015;352.4998;0.2184;190.4818;359.9077;359.5794;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, 0.6, 0.4, -0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.2153;0.0395;-0.0260;-86.8868;54.3566;1.1504;1.0941;-64.8815;77.2150;358.2838;354.4571;11.8542;186.9399;359.0411;357.8972
0.0000;0.0000;False;False;-86.5000;54.0003;0.0450;0.0411;-65.0998;77.4032;0.0045;-0.0004;359.5115;187.2474;0.0000;0.0015;-0.0003;0.0115;0.0424;0.0030;-0.0025;0.0000;156039;71.60264;Infinity;2127.25;-86.8824;54.7679;1.2659;1.3635;-64.8529;77.0227;352.5044;352.5089;0.2188;190.4818;359.9077;359.5795;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.6, 0.4, -0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.1)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.2571;0.0395;-0.0271;-86.8836;54.3566;1.1508;1.0962;-64.8819;77.2147;358.5317;354.5344;13.8065;186.9150;358.6354;357.8445
0.0000;0.0000;False;False;-86.5000;54.0003;0.0454;0.0427;-65.0998;77.4031;0.0059;0.0050;359.5122;187.2475;0.0000;0.0012;-0.0002;0.0080;0.0313;0.0015;-0.0012;0.0000;156042;71.58286;Infinity;2127.29;-86.8824;54.7679;1.2663;1.3652;-64.8528;77.0225;352.5060;352.5151;0.2189;190.4819;359.9078;359.5795;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.7, 0.4, -0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.2988;0.0395;-0.0279;-86.8808;54.3566;1.1510;1.0979;-64.8820;77.2146;358.7634;354.5829;15.4675;186.9103;358.1867;357.7907
0.0000;0.0000;False;False;-86.5000;54.0003;0.0457;0.0439;-65.0997;77.4031;0.0065;0.0083;359.5127;187.2469;0.0000;0.0009;-0.0004;0.0055;0.0228;0.0009;-0.0028;0.0000;156045;71.40006;Infinity;2127.33;-86.8824;54.7679;1.2667;1.3665;-64.8528;77.0224;352.5069;352.5192;0.2199;190.4817;359.9078;359.5794;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.4, -0.2)_(0.7, 0.5, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.7, 0.4, -0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.3411;0.0395;-0.0280;-86.8774;54.3562;1.1511;1.0991;-64.8823;77.2144;359.0825;354.6285;17.1423;186.9289;357.7342;357.7248
0.0000;0.0000;False;False;-86.5000;54.0003;0.0459;0.0447;-65.0996;77.4030;0.0063;0.0101;359.5116;187.2468;0.0000;0.0007;-0.0001;0.0036;0.0162;0.0024;-0.0002;0.0000;156048;71.46764;Infinity;2127.37;-86.8824;54.7678;1.2669;1.3674;-64.8527;77.0223;352.5070;352.5214;0.2189;190.4811;359.9078;359.5793;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.5, -0.2)_(0.7, 0.5, -0.5, 0.2)_1.208265_System.String[];HandLeft_(0.3, -0.5, -0.2)_(0.6, 0.5, -0.6, 0.1)_0.9545652_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.2, 0.7, 0.3, -0.6)_1.208265_System.String[];HandRight_(0.5, -0.5, -0.2)_(-0.1, -0.6, -0.5, 0.6)_0.9545652_System.String[];0.3831;0.0395;-0.0280;-86.8748;54.3558;1.1509;1.1000;-64.8826;77.2140;359.2471;354.6604;18.4488;186.9660;357.3443;357.6799
