AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.4841;0.0000;False;False;81.0100;-86.3200;0.7812;0.7812;-75.3200;-84.7400;0.0000;0.0000;275.6213;78.2197;0.0000;0.0000; ; ; ; ; ; ;335411;72.0014;Infinity;4175.36;80.9448;-86.0857;1.8951;2.0385;-75.7426;-84.3087;352.5811;352.5012;284.1032;77.1981;358.8969;0.1333;;;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.5, 0.6)_1.057692_System.String[];0.0000;0.0445;0.0091;80.7959;-86.3129;1.8895;1.9676;-75.7053;-84.3731;354.0347;0.0910;277.0909;79.8372;356.2014;1.1870
-0.4841;0.0000;False;False;81.0100;-86.3200;0.6592;0.6592;-75.3200;-84.7400;0.0000;0.0000;275.6213;78.2197;0.0000;0.0000;0.0000;-2.4800;-2.4800;0.0000;0.0000;0.0000;335414;65.06237;Infinity;4175.42;80.9448;-86.0857;1.7803;1.9238;-75.7426;-84.3087;352.5811;352.5012;284.1032;77.1981;358.8969;0.1333;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.4, 0.6)_1.057692_System.String[];0.0532;0.0445;0.0091;80.7959;-86.3134;1.7747;1.8541;-75.7053;-84.3748;354.0855;359.6917;277.0530;80.0374;356.2378;0.9942
-0.4841;0.0000;False;False;81.0100;-86.3200;0.5455;0.5455;-75.3200;-84.7400;0.0000;0.0000;275.6213;78.2197;0.0000;0.0000;0.0000;-2.8502;-2.8502;0.0000;0.0000;0.0000;335417;68.26564;Infinity;4175.46;80.9448;-86.0857;1.6718;1.8152;-75.7426;-84.3087;352.5811;352.5012;284.1032;77.1981;358.8969;0.1333;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.4, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.4, 0.6)_1.057692_System.String[];0.0952;0.0445;0.0091;80.7959;-86.3139;1.6661;1.7448;-75.7053;-84.3756;354.0802;359.2166;277.0165;80.0796;356.2559;0.8597
-0.4841;0.0000;False;False;81.0100;-86.3200;0.4158;0.4158;-75.3200;-84.7400;0.0000;0.0000;275.6213;78.2197;0.0000;0.0000;0.0000;-3.2174;-3.2174;0.0000;0.0000;0.0000;335420;70.04128;Infinity;4175.50;80.9448;-86.0857;1.5472;1.6907;-75.7426;-84.3087;352.5811;352.5012;284.1032;77.1981;358.8969;0.1333;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.4, 0.6)_1.057692_System.String[];0.1367;0.0445;0.0091;80.7959;-86.3145;1.5416;1.6188;-75.7053;-84.3764;354.0525;359.1396;276.9628;80.0801;356.2615;0.7232
-0.4841;0.0000;False;False;81.0100;-86.3200;0.2701;0.2701;-75.3200;-84.7400;0.0000;0.0000;275.6213;78.2197;0.0000;0.0000;0.0000;-3.7628;-3.7628;0.0000;0.0000;0.0000;335423;70.9847;Infinity;4175.54;80.9448;-86.0857;1.4068;1.5503;-75.7426;-84.3087;352.5811;352.5012;284.1032;77.1981;358.8969;0.1333;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.4, 0.6)_1.057692_System.String[];0.1782;0.0445;0.0091;80.7959;-86.3149;1.4012;1.4771;-75.7053;-84.3772;354.0345;359.2473;276.9088;80.0670;356.2558;0.6311
-0.4881;0.0000;False;False;81.0096;-86.3200;0.1184;0.1150;-75.3196;-84.7400;359.9267;359.9897;275.6126;78.2195;0.0334;-0.0001;-0.0086;-2.8357;-2.9288;0.0060;-0.0018;0.0048;335426;71.47059;Infinity;4175.58;80.9452;-86.0857;1.2533;1.3954;-75.7428;-84.3087;352.5507;352.4988;284.0980;77.1981;358.9067;0.1333;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.4, 0.6)_1.057692_System.String[];0.2202;0.0445;0.0091;80.7962;-86.3151;1.2477;1.3210;-75.7055;-84.3776;354.0007;359.3280;276.8445;80.0442;356.2672;0.5614
-0.4881;0.0000;False;False;81.0090;-86.3197;0.0175;0.0107;-75.3192;-84.7399;359.7807;359.9029;275.6119;78.2184;0.0588;-0.0001;-0.0042;-1.7283;-1.7903;0.0042;-0.0009;0.0067;335429;71.72808;Infinity;4175.63;80.9471;-86.0869;1.1325;1.2709;-75.7433;-84.3090;352.4054;352.4366;284.0905;77.1969;358.9232;0.1344;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.5, 0.6)_1.057692_System.String[];0.2617;0.0445;0.0091;80.7982;-86.3163;1.1273;1.1953;-75.7059;-84.3781;353.8715;359.3687;276.7560;79.9671;356.3092;0.5379
-0.4881;0.0000;False;False;81.0084;-86.3191;-0.0414;-0.0504;-75.3189;-84.7398;359.6447;359.8020;275.6114;78.2201;0.0723;-0.0002;0.0060;-0.9687;-1.0083;0.0022;0.0012;0.0061;335432;71.86086;Infinity;4175.67;80.9492;-86.0885;1.0609;1.1974;-75.7435;-84.3093;352.2615;352.3359;284.0906;77.1975;358.9189;0.1361;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.5, 0.6)_1.057692_System.String[];0.3032;0.0445;0.0091;80.8003;-86.3179;1.0561;1.1203;-75.7062;-84.3786;353.7474;359.3584;276.6431;79.8082;356.3400;0.4919
-0.4920;0.0000;False;False;81.0080;-86.3185;-0.0721;-0.0824;-75.3187;-84.7397;359.5428;359.7203;275.6111;78.2201;0.0783;-0.0002;0.0011;-0.4623;-0.4861;0.0006;0.0002;0.0044;335435;71.93188;Infinity;4175.71;80.9509;-86.0897;1.0219;1.1572;-75.7436;-84.3096;352.1467;352.2454;284.0916;77.1984;358.9100;0.1378;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.5, 0.6)_1.057692_System.String[];0.3452;0.0445;0.0091;80.8016;-86.3189;1.0175;1.0790;-75.7063;-84.3790;353.6397;359.3723;276.5403;79.6157;356.3578;0.3751
-0.4920;0.0000;False;False;81.0078;-86.3182;-0.0846;-0.0957;-75.3187;-84.7396;359.4807;359.6699;275.6110;78.2169;0.0799;-0.0002;0.0001;-0.1369;-0.1500;-0.0005;0.0000;0.0024;335438;71.96182;Infinity;4175.75;80.9521;-86.0907;1.0041;1.1389;-75.7437;-84.3098;352.0716;352.1841;284.0925;77.1959;358.9016;0.1388;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.6, 0.5, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.1, -0.7, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.6, -0.5, 0.6)_1.057692_System.String[];0.3867;0.0445;0.0091;80.8025;-86.3197;1.0000;1.0596;-75.7063;-84.3792;353.5788;359.4073;276.5457;79.4229;356.3548;0.2167
