AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.4960;0.0000;False;False;53.6000;63.9409;0.0032;0.0032;72.1992;106.2402;359.7814;359.8196;180.3439;235.6640;0.0000;0.0435; ; ; ; ; ; ;245312;72.00038;Infinity;2923.84;54.0269;63.8939;1.0870;1.2311;72.1774;105.7536;352.3515;352.3101;188.8303;234.6359;358.8623;0.1835;;;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.6, -0.4, 0.6)_1.057692_System.String[];0.0000;-0.0063;0.0229;53.9941;64.0590;1.0728;1.1458;72.0472;105.9091;353.8065;0.5527;181.7943;247.6956;355.9671;359.9844
-0.4960;0.0000;False;False;53.6000;63.9410;0.0125;0.0125;72.1993;106.2403;359.8264;359.8578;180.3439;235.6635;0.0000;0.0349;-0.0040;0.1824;0.1824;-0.0024;-0.0015;0.0000;245315;68.5637;Infinity;2923.89;54.0269;63.8932;1.0967;1.2406;72.1767;105.7533;352.3965;352.3488;188.8294;234.6369;358.8691;0.1737;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.6, -0.4, 0.6)_1.057692_System.String[];0.0471;-0.0063;0.0229;53.9941;64.0585;1.0824;1.1551;72.0465;105.9080;353.8430;0.7879;181.7551;247.2914;355.9863;0.0234
-0.4960;0.0000;False;False;53.6000;63.9411;0.0196;0.0196;72.1995;106.2403;359.8631;359.8887;180.3439;235.6631;0.0000;0.0283;-0.0023;0.1562;0.1561;-0.0021;-0.0006;0.0000;245318;70.19633;Infinity;2923.93;54.0269;63.8926;1.1041;1.2480;72.1762;105.7531;352.4341;352.3805;188.8287;234.6374;358.8748;0.1661;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.6, -0.4, 0.6)_1.057692_System.String[];0.0889;-0.0063;0.0229;53.9940;64.0584;1.0898;1.1621;72.0459;105.9068;353.9027;0.9875;181.7322;246.8145;355.9859;0.0713
-0.4960;0.0000;False;False;53.6000;63.9411;0.0256;0.0256;72.1996;106.2404;359.8956;359.9160;180.3439;235.6636;0.0000;0.0227;-0.0033;0.1303;0.1302;-0.0019;-0.0013;0.0000;245321;71.06419;Infinity;2923.97;54.0268;63.8921;1.1105;1.2542;72.1756;105.7529;352.4677;352.4091;188.8280;234.6386;358.8798;0.1596;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.057692_System.String[];0.1306;-0.0063;0.0229;53.9940;64.0584;1.0961;1.1682;72.0454;105.9055;353.9695;1.1878;181.7363;246.2195;355.9807;0.1304
-0.4960;0.0000;False;False;53.6000;63.9411;0.0305;0.0305;72.1997;106.2404;359.9231;359.9391;180.3439;235.6638;0.0000;0.0181;-0.0026;0.1064;0.1063;-0.0016;-0.0010;0.0000;245324;71.5162;Infinity;2924.01;54.0269;63.8916;1.1157;1.2594;72.1752;105.7527;352.4966;352.4335;188.8274;234.6393;358.8842;0.1542;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(0.0, -0.7, -0.4, 0.6)_1.057692_System.String[];0.1721;-0.0063;0.0229;53.9940;64.0585;1.1012;1.1732;72.0450;105.9039;354.0207;1.3593;181.7517;245.4319;355.9897;0.1919
-0.4960;0.0000;False;False;53.6000;63.9412;0.0344;0.0344;72.1998;106.2404;359.9457;359.9581;180.3439;235.6642;0.0000;0.0143;-0.0017;0.0853;0.0852;-0.0013;-0.0005;0.0000;245327;71.75323;Infinity;2924.05;54.0268;63.8912;1.1200;1.2635;72.1748;105.7525;352.5206;352.4537;188.8270;234.6411;358.8878;0.1498;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.057692_System.String[];0.2139;-0.0063;0.0229;53.9940;64.0593;1.1054;1.1770;72.0446;105.9014;354.0533;1.5293;181.7525;244.1542;356.0122;0.2569
-0.4960;0.0000;False;False;53.6000;63.9412;0.0375;0.0375;72.1998;106.2404;359.9637;359.9731;180.3440;235.6642;0.0000;0.0113;-0.0010;0.0672;0.0671;-0.0010;-0.0002;0.0000;245330;71.87153;Infinity;2924.10;54.0268;63.8909;1.1233;1.2668;72.1745;105.7524;352.5398;352.4700;188.8266;234.6407;358.8907;0.1462;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.057692_System.String[];0.2556;-0.0063;0.0229;53.9940;64.0608;1.1087;1.1801;72.0443;105.8976;354.0846;1.6599;181.7378;242.0133;356.0275;0.1809
-0.4960;0.0000;False;False;53.6000;63.9412;0.0399;0.0399;72.1999;106.2404;359.9775;359.9848;180.3439;235.6648;0.0000;0.0088;0.0000;0.0521;0.0520;-0.0008;0.0004;0.0000;245333;71.93404;Infinity;2924.14;54.0268;63.8907;1.1259;1.2693;72.1743;105.7523;352.5548;352.4826;188.8263;234.6418;358.8929;0.1433;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.1)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.7, -0.4, 0.6)_1.057692_System.String[];0.2971;-0.0063;0.0229;53.9940;64.0628;1.1112;1.1826;72.0441;105.8933;354.1371;1.7726;181.7165;239.3454;356.0331;0.0096
-0.4960;0.0000;False;False;53.6000;63.9412;0.0417;0.0417;72.1999;106.2404;359.9879;359.9930;180.3439;235.6645;0.0000;0.0069;-0.0020;0.0398;0.0397;-0.0006;-0.0010;0.0000;245336;71.96506;Infinity;2924.18;54.0268;63.8905;1.1278;1.2713;72.1741;105.7522;352.5660;352.4918;188.8261;234.6421;358.8946;0.1411;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.6, -0.4, 0.6)_1.057692_System.String[];0.3389;-0.0063;0.0229;53.9940;64.0654;1.1132;1.1844;72.0439;105.8886;354.1355;1.8711;181.6587;236.3279;356.0307;359.7890
-0.4960;0.0000;False;False;53.6000;63.9411;0.0430;0.0430;72.1999;106.2404;-0.0048;-0.0011;180.3439;235.6646;0.0000;0.0054;-0.0008;0.0258;0.0257;-0.0003;-0.0003;0.0000;245339;71.98212;Infinity;2924.22;54.0268;63.8903;1.1293;1.2727;72.1740;105.7521;352.5742;352.4984;188.8259;234.6419;358.8958;0.1393;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.1, -0.3, -0.4)_(0.6, 0.3, -0.7, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.4, -0.1)_(0.7, 0.4, -0.6, 0.0)_1.057692_System.String[];HandRight_(0.1, -0.2, -0.4)_(-0.3, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.4, -0.1)_(-0.1, -0.6, -0.4, 0.6)_1.057692_System.String[];0.3806;-0.0063;0.0229;53.9940;64.0684;1.1147;1.1858;72.0438;105.8837;354.0866;1.8283;181.5881;233.0544;355.9952;359.6911
