AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;82.2000;107.4000;0.1139;0.1139;25.2000;69.7000;359.9882;359.9882;208.4238;217.2918;0.0000;0.0000; ; ; ; ; ; ;379340;71.99457;Infinity;4785.56;82.5643;107.5055;1.2503;1.3938;24.9761;69.2207;352.5784;352.4984;216.9057;216.2702;358.8965;0.1334;;;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.5, -0.2, -0.2, 0.8)_1.057692_System.String[];0.0000;0.0128;0.0005;82.4703;107.6302;1.2518;1.3142;24.8493;69.4185;351.8315;356.4041;212.1422;211.8788;357.5657;359.5163
0.0000;0.0000;False;False;82.1997;107.3997;-0.0085;-0.0085;25.1995;69.6996;359.8741;359.8748;208.4210;217.2964;0.0000;0.0000;0.0039;-1.7877;-1.7877;-0.0010;0.0051;-0.0007;379343;65.65304;Infinity;4785.62;82.5650;107.5065;1.1030;1.2469;24.9773;69.2219;352.4910;352.4102;216.9035;216.2735;358.8833;0.1350;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.5, -0.2, -0.2, 0.8)_1.057692_System.String[];0.0518;0.0128;0.0005;82.4707;107.6311;1.1054;1.1670;24.8501;69.4196;351.4569;356.3577;212.0506;211.9405;357.6073;359.5176
0.0000;0.0000;False;False;82.1995;107.3994;-0.0610;-0.0610;25.1992;69.6992;359.7768;359.7766;208.4246;217.2973;0.0001;0.0000;-0.0009;-1.0066;-1.0066;0.0043;-0.0011;0.0023;379346;68.60392;Infinity;4785.66;82.5657;107.5075;1.0398;1.1842;24.9786;69.2233;352.3907;352.3089;216.9101;216.2754;358.8683;0.1368;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.2, -0.2, 0.8)_1.057692_System.String[];0.0938;0.0128;0.0005;82.4709;107.6321;1.0428;1.1039;24.8506;69.4209;351.1930;356.2706;212.0178;211.9674;357.5978;359.5244
0.0000;0.0000;False;False;82.1994;107.3993;-0.0873;-0.0873;25.1989;69.6991;359.7031;359.7034;208.4246;217.2984;0.0000;0.0000;0.0043;-0.4851;-0.4851;0.0055;0.0057;0.0030;379349;70.21808;Infinity;4785.70;82.5663;107.5084;1.0062;1.1511;24.9797;69.2245;352.3088;352.2261;216.9117;216.2764;358.8559;0.1383;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.4, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.1353;0.0128;0.0005;82.4709;107.6329;1.0101;1.0704;24.8510;69.4219;350.9821;356.1769;212.0418;211.9887;357.5590;359.5077
0.0000;0.0000;False;False;82.1993;107.3992;-0.0968;-0.0968;25.1988;69.6990;359.6607;359.6607;208.4268;217.2982;0.0000;0.0000;0.0025;-0.0334;-0.0334;0.0029;0.0033;0.0016;379352;71.0806;Infinity;4785.74;82.5666;107.5090;0.9920;1.1371;24.9804;69.2252;352.2566;352.1732;216.9139;216.2757;358.8481;0.1393;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.1768;0.0128;0.0005;82.4705;107.6334;0.9966;1.0563;24.8507;69.4226;350.8300;356.0934;212.1548;212.0410;357.4967;359.4980
0.0000;0.0000;False;False;82.1994;107.3993;-0.0961;-0.0961;25.1988;69.6990;359.6485;359.6487;208.4267;217.2992;0.0000;0.0000;0.0033;0.1224;0.1224;0.0032;0.0044;0.0017;379355;71.52361;Infinity;4785.78;82.5668;107.5092;0.9898;1.1351;24.9807;69.2256;352.2351;352.1515;216.9155;216.2776;358.8448;0.1397;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.5, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.2188;0.0128;0.0005;82.4697;107.6337;0.9950;1.0541;24.8497;69.4230;350.7474;356.0563;212.3348;212.1035;357.4436;359.5028
0.0000;0.0000;False;False;82.1995;107.3994;-0.0897;-0.0897;25.1990;69.6993;359.6603;359.6606;208.4257;217.2971;0.0000;0.0000;0.0042;0.2046;0.2046;0.0036;0.0055;0.0020;379358;71.75787;Infinity;4785.82;82.5669;107.5093;0.9946;1.1398;24.9808;69.2257;352.2393;352.1559;216.9141;216.2753;358.8454;0.1396;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.4, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.2603;0.0128;0.0005;82.4687;107.6338;1.0002;1.0589;24.8485;69.4231;350.7315;356.0685;212.5186;212.1347;357.4129;359.5072
0.0000;0.0000;False;False;82.1996;107.3997;-0.0805;-0.0805;25.1993;69.6996;359.6884;359.6888;208.4264;217.2970;0.0000;0.0000;0.0038;0.2384;0.2384;0.0041;0.0050;0.0023;379361;71.8722;Infinity;4785.87;82.5668;107.5093;1.0031;1.1482;24.9807;69.2257;352.2624;352.1794;216.9147;216.2747;358.8489;0.1391;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.4, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.3, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.3018;0.0128;0.0005;82.4675;107.6337;1.0089;1.0673;24.8469;69.4231;350.8036;356.0957;212.6981;212.1599;357.3638;359.5107
0.0000;0.0000;False;False;82.1998;107.4000;-0.0705;-0.0705;25.1997;69.7000;359.7260;359.7263;208.4272;217.2976;0.0000;0.0000;0.0020;0.2419;0.2419;0.0031;0.0026;0.0017;379364;71.93796;Infinity;4785.91;82.5667;107.5091;1.0130;1.1579;24.9804;69.2254;352.2971;352.2144;216.9145;216.2751;358.8541;0.1385;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.4, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.4, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.3438;0.0128;0.0005;82.4662;107.6336;1.0191;1.0772;24.8450;69.4228;350.9787;356.1329;212.8525;212.1848;357.2990;359.5093
0.0000;0.0000;False;False;82.2000;107.4002;-0.0606;-0.0606;25.2000;69.7003;359.7678;359.7678;208.4262;217.2986;0.0000;0.0000;0.0022;0.2275;0.2275;0.0038;0.0029;0.0021;379367;71.95711;Infinity;4785.95;82.5665;107.5088;1.0230;1.1676;24.9801;69.2250;352.3375;352.2550;216.9132;216.2758;358.8602;0.1378;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-0.2, -0.3, -0.4)_(0.6, 0.4, -0.6, 0.2)_1.040898_System.String[];HandLeft_(-0.1, -0.6, 0.0)_(0.8, 0.3, -0.3, 0.4)_1.057692_System.String[];HandRight_(0.1, -0.3, -0.4)_(-0.2, -0.6, -0.4, 0.7)_1.040898_System.String[];HandRight_(0.1, -0.6, 0.0)_(-0.6, -0.1, -0.2, 0.8)_1.057692_System.String[];0.3853;0.0128;0.0005;82.4648;107.6333;1.0292;1.0871;24.8431;69.4225;351.1703;356.1788;212.9913;212.2151;357.2212;359.5019
