AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;81.0089;-87.2697;-0.0188;-0.0332;-75.1197;-85.5399;359.7854;359.9118;273.3841;77.1636;0.1496;-0.0005; ; ; ; ; ; ;257927;71.99525;Infinity;3560.27;80.6566;-85.8661;1.3573;0.8880;-75.9769;-87.0111;352.2906;352.8539;278.1864;97.1301;359.5034;357.4118;;;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.0000;0.0008;0.0046;80.7977;-87.2745;1.0261;0.9390;-75.4935;-85.1610;2.6057;351.2094;275.4433;75.4452;359.1028;359.3734
0.0000;0.0000;False;False;81.0090;-87.2698;-0.0138;-0.0276;-75.1198;-85.5400;359.8145;359.9435;273.3848;77.1620;0.1488;-0.0005;0.0007;0.0853;0.0980;-0.0017;0.0002;-0.0021;257930;65.83577;Infinity;3560.32;80.6560;-85.8656;1.3624;0.8934;-75.9769;-87.0110;352.3219;352.8857;278.1863;97.1275;359.5051;357.4234;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, -0.1)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.0520;0.0008;0.0046;80.7972;-87.2740;1.0312;0.9454;-75.4936;-85.1610;2.6724;351.0360;275.4349;75.4742;359.1209;359.3926
0.0000;0.0000;False;False;81.0091;-87.2699;-0.0108;-0.0241;-75.1199;-85.5400;359.8326;359.9634;273.3885;77.1620;0.1483;-0.0005;0.0014;0.0670;0.0776;-0.0016;0.0003;-0.0022;257933;68.70528;Infinity;3560.36;80.6555;-85.8654;1.3656;0.8968;-75.9769;-87.0110;352.3414;352.9059;278.1890;97.1266;359.5063;357.4308;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.6, -0.5, 0.6, -0.1)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.1, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.0935;0.0008;0.0046;80.7969;-87.2737;1.0343;0.9490;-75.4936;-85.1609;2.7169;351.1761;275.4086;75.4680;359.1445;359.4418
0.0000;0.0000;False;False;81.0091;-87.2699;-0.0085;-0.0214;-75.1200;-85.5400;359.8462;359.9786;273.3924;77.1620;0.1480;-0.0005;0.0021;0.0452;0.0531;-0.0016;0.0005;0.0002;257936;70.27499;Infinity;3560.40;80.6551;-85.8651;1.3681;0.8994;-75.9770;-87.0109;352.3564;352.9215;278.1926;97.1253;359.5071;357.4365;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.1353;0.0008;0.0046;80.7966;-87.2733;1.0368;0.9516;-75.4936;-85.1608;2.7551;351.3804;275.3767;75.4287;359.1768;359.4855
0.0000;0.0000;False;False;81.0092;-87.2699;-0.0068;-0.0194;-75.1201;-85.5400;359.8564;359.9901;273.3953;77.1616;0.1477;-0.0005;0.0007;0.0341;0.0404;-0.0015;0.0002;-0.0008;257939;71.10422;Infinity;3560.44;80.6549;-85.8649;1.3699;0.9014;-75.9770;-87.0108;352.3677;352.9335;278.1957;97.1245;359.5078;357.4409;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.1, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.1770;0.0008;0.0046;80.7964;-87.2731;1.0386;0.9538;-75.4937;-85.1608;2.7633;351.3392;275.3439;75.4014;359.2205;359.4606
0.0000;0.0000;False;False;81.0092;-87.2699;-0.0055;-0.0178;-75.1201;-85.5400;359.8635;-0.0016;273.3998;77.1609;0.1475;-0.0005;-0.0001;0.0254;0.0303;-0.0015;0.0000;-0.0004;257942;71.53738;Infinity;3560.48;80.6547;-85.8648;1.3713;0.9029;-75.9770;-87.0108;352.3757;352.9423;278.1999;97.1239;359.5083;357.4441;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.2185;0.0008;0.0046;80.7962;-87.2730;1.0400;0.9558;-75.4937;-85.1608;2.7423;351.1868;275.3156;75.4047;359.2667;359.4512
0.0000;0.0000;False;False;81.0092;-87.2699;-0.0046;-0.0167;-75.1202;-85.5400;359.8684;0.0043;273.4031;77.1611;0.1473;-0.0005;0.0017;0.0185;0.0223;-0.0014;0.0004;-0.0015;257945;71.76171;Infinity;3560.53;80.6545;-85.8647;1.3723;0.9041;-75.9770;-87.0108;352.3813;352.9485;278.2037;97.1232;359.5086;357.4464;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.2603;0.0008;0.0046;80.7961;-87.2729;1.0410;0.9571;-75.4938;-85.1607;2.7006;351.2079;275.2980;75.4107;359.2962;359.4896
0.0000;0.0000;False;False;81.0092;-87.2698;-0.0039;-0.0159;-75.1203;-85.5400;359.8715;0.0078;273.4065;77.1611;0.1472;-0.0005;0.0015;0.0133;0.0162;-0.0015;0.0003;0.0004;257948;71.87724;Infinity;3560.57;80.6544;-85.8645;1.3731;0.9049;-75.9771;-87.0107;352.3849;352.9525;278.2068;97.1231;359.5087;357.4478;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.3020;0.0008;0.0046;80.7961;-87.2727;1.0418;0.9578;-75.4938;-85.1607;2.6654;351.4082;275.2907;75.3921;359.3272;359.5471
0.0000;0.0000;False;False;81.0093;-87.2697;-0.0034;-0.0153;-75.1203;-85.5399;359.8734;0.0100;273.4088;77.1612;0.1471;-0.0005;0.0015;0.0093;0.0115;-0.0015;0.0003;0.0019;257951;71.93743;Infinity;3560.61;80.6543;-85.8644;1.3736;0.9055;-75.9771;-87.0107;352.3871;352.9549;278.2095;97.1230;359.5088;357.4487;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.3435;0.0008;0.0046;80.7960;-87.2726;1.0423;0.9582;-75.4939;-85.1607;2.6264;351.4855;275.2895;75.3627;359.3623;359.5547
0.0000;0.0000;False;False;81.0094;-87.2697;-0.0031;-0.0149;-75.1204;-85.5399;359.8742;0.0112;273.4118;77.1608;0.1470;-0.0005;0.0021;0.0064;0.0080;-0.0015;0.0005;0.0010;257954;71.9668;Infinity;3560.65;80.6543;-85.8643;1.3740;0.9059;-75.9772;-87.0107;352.3883;352.9564;278.2126;97.1231;359.5088;357.4493;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.4, -0.6, -0.1)_(-0.5, -0.5, 0.6, 0.0)_0.94221_System.String[];HandLeft_(-1.8, -0.3, 1.4)_(0.6, 0.5, -0.6, 0.3)_1.051929_System.String[];HandRight_(0.6, -0.6, -0.2)_(-0.2, -0.6, -0.5, 0.6)_0.94221_System.String[];HandRight_(-1.7, -0.2, 1.4)_(-0.3, 0.0, -0.2, 0.9)_1.051929_System.String[];0.3853;0.0008;0.0046;80.7961;-87.2725;1.0431;0.9586;-75.4939;-85.1606;2.5686;351.4092;275.2936;75.3441;359.3703;359.5198
