AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;-0.5039;False;False;98.1000;54.7000;0.6251;0.6764;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000; ; ; ; ; ; ;268092;71.99965;Infinity;3708.59;98.3227;53.8229;1.5855;1.4648;54.5237;-115.3736;352.5071;352.5223;212.0972;310.3161;0.3273;359.4208;;;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.1)_(-0.6, -0.4, 0.6, -0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.6, -0.3, 0.7)_1.011463_System.String[];0.0000;-0.0083;0.0181;98.3056;54.4076;1.8614;1.7756;55.0664;-115.5162;1.5637;346.4070;212.1930;307.7072;3.8582;3.7766
0.0000;-0.5039;False;False;98.1000;54.7000;0.4919;0.5518;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000;0.0000;-3.0341;-2.8502;0.0000;0.0000;0.0000;268095;68.99098;Infinity;3708.64;98.3227;53.8229;1.4583;1.3462;54.5237;-115.3736;352.5071;352.5223;212.0972;310.3161;0.3273;359.4208;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.7, -0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.0464;-0.0083;0.0181;98.3065;54.4051;1.7345;1.6578;55.0678;-115.5145;1.3374;346.4374;212.0558;307.5366;3.7482;3.8517
0.0000;-0.5039;False;False;98.1000;54.7000;0.3555;0.4230;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000;0.0000;-3.3999;-3.2174;0.0000;0.0000;0.0000;268098;70.42838;Infinity;3708.68;98.3227;53.8229;1.3269;1.2225;54.5237;-115.3736;352.5071;352.5223;212.0972;310.3161;0.3273;359.4208;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.0879;-0.0083;0.0181;98.3072;54.4023;1.6033;1.5347;55.0689;-115.5124;1.3096;346.7032;211.9355;307.3438;3.6532;3.7750
0.0000;-0.5039;False;False;98.1000;54.7000;0.2032;0.2783;55.4000;-115.2000;0.0000;0.0000;214.6056;305.8745;0.0000;0.0000;0.0000;-3.7628;-3.5817;0.0000;0.0000;0.0000;268101;71.18501;Infinity;3708.72;98.3227;53.8229;1.1797;1.0828;54.5237;-115.3736;352.5071;352.5223;212.0972;310.3161;0.3273;359.4208;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.7, -0.1)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.1296;-0.0083;0.0181;98.3078;54.3992;1.4562;1.3958;55.0697;-115.5096;1.3487;347.0989;211.8105;307.1364;3.5824;3.4845
0.0000;-0.5039;False;False;98.0998;54.7007;0.0637;0.1259;55.3997;-115.2002;359.9564;0.1146;214.6084;305.8758;0.0000;0.0808;0.0084;-2.3047;-2.7942;-0.0060;-0.0149;-0.0041;268104;71.57956;Infinity;3708.76;98.3228;53.8225;1.0282;0.9292;54.5238;-115.3737;352.4890;352.5588;212.0981;310.3126;0.3281;359.4512;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.5, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.1714;-0.0083;0.0181;98.3083;54.3951;1.3046;1.2433;55.0706;-115.5063;1.2948;347.5214;211.7012;306.9693;3.5376;3.0331
0.0000;-0.5039;False;False;98.0994;54.7016;-0.0197;0.0240;55.3991;-115.2006;359.8565;0.1775;214.6057;305.8753;0.0000;0.1507;0.0088;-1.3593;-1.6990;-0.0008;-0.0091;-0.0005;268107;71.78805;Infinity;3708.80;98.3232;53.8215;0.9294;0.8049;54.5244;-115.3743;352.3979;352.6772;212.0973;310.2982;0.3321;359.5654;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.3, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.2129;-0.0083;0.0181;98.3092;54.3895;1.2051;1.1216;55.0719;-115.5032;1.1381;347.8827;211.6174;306.8836;3.5416;2.5997
0.0000;-0.5039;False;False;98.0990;54.7021;-0.0667;-0.0355;55.3985;-115.2007;359.7615;0.1753;214.6060;305.8750;0.0000;0.1893;0.0063;-0.7185;-0.9487;0.0029;-0.0057;0.0020;268110;71.88814;Infinity;3708.84;98.3237;53.8215;0.8725;0.7319;54.5251;-115.3749;352.2984;352.6872;212.0967;310.2915;0.3365;359.6145;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.4, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.2, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.2546;-0.0083;0.0181;98.3101;54.3856;1.1474;1.0503;55.0732;-115.5003;0.9709;348.0266;211.5678;306.9308;3.5706;2.1177
0.0000;-0.5000;False;False;98.0987;54.7023;-0.0896;-0.0666;55.3982;-115.2008;359.6932;0.1553;214.6061;305.8748;0.0000;0.2092;0.0033;-0.2978;-0.4491;0.0010;-0.0034;0.0007;268113;71.94518;Infinity;3708.89;98.3242;53.8218;0.8433;0.6922;54.5258;-115.3753;352.2202;352.6682;212.0965;310.2881;0.3400;359.6385;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.5, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.2, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(-0.1, -0.7, -0.3, 0.7)_1.011463_System.String[];0.2964;-0.0084;0.0181;98.3106;54.3820;1.1176;1.0126;55.0740;-115.4971;0.8737;347.9703;211.5712;307.1191;3.6085;1.6357
0.0000;-0.5000;False;False;98.0986;54.7023;-0.0970;-0.0794;55.3980;-115.2008;359.6567;0.1403;214.6057;305.8747;0.0000;0.2182;0.0006;-0.0334;-0.1289;0.0000;-0.0018;0.0000;268116;71.96632;Infinity;3708.93;98.3244;53.8220;0.8318;0.6741;54.5261;-115.3756;352.1729;352.6492;212.0952;310.2865;0.3421;359.6493;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.5, 0.6, -0.5, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.2, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.011463_System.String[];0.3379;-0.0088;0.0181;98.3107;54.3785;1.1059;0.9974;55.0741;-115.4937;0.9452;347.6552;211.6834;307.4212;3.6028;1.2034
0.0000;-0.5000;False;False;98.0986;54.7023;-0.0952;-0.0808;55.3980;-115.2008;359.6491;0.1385;214.6071;305.8746;0.0000;0.2213;-0.0015;0.1224;0.0657;-0.0016;-0.0005;-0.0011;268119;71.97869;Infinity;3708.97;98.3245;53.8220;0.8312;0.6695;54.5263;-115.3758;352.1562;352.6422;212.0961;310.2859;0.3429;359.6535;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.2, 0.0, 0.1)_(0.5, 0.6, -0.6, 0.3)_0.9884796_System.String[];HandLeft_(0.2, 0.2, 0.2)_(-0.6, -0.2, 0.7, 0.0)_1.011463_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.3, -0.6, -0.6, 0.5)_0.9884796_System.String[];HandRight_(0.4, 0.2, 0.1)_(0.0, -0.7, -0.2, 0.7)_1.011463_System.String[];0.3796;-0.0095;0.0181;98.3102;54.3746;1.1046;0.9962;55.0741;-115.4900;1.2717;347.0712;211.9479;307.8091;3.4885;0.8039
