-0.3611;-0.5859;False;False;31.3722;-32.1848;-0.0520;-0.2629;-1.0893;1.3400;0.1894;359.8372;88.4578;271.4737;359.8445;359.9075;0.0024;-0.0003;0.0002;-0.0001;0.0000;-0.0012;227011;59.10407;Infinity;3121.35;31.8778;-32.7745;0.6793;0.5038;-0.3143;0.6509;352.7800;352.3503;78.4011;269.6652;1.1206;0.1492;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, -0.1, 0.2)_(0.6, 0.5, -0.5, 0.4)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.5, -0.2, 0.1)_1.081002_System.String[];HandRight_(0.5, 0.0, 0.2)_(-0.4, -0.6, -0.3, 0.6)_1.000714_System.String[];HandRight_(0.4, 0.0, 0.1)_(-0.2, -0.6, -0.6, 0.5)_1.081002_System.String[];52.4944;0.0080;0.0136;31.4795;-32.1821;1.0676;0.8798;-0.7504;0.9822;5.4086;352.1665;92.2348;270.0361;5.5113;1.8843
AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.9684;0.9508;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000; ; ; ; ; ; ;233286;71.99833;Infinity;3208.49;80.3462;-84.3792;1.7095;1.7276;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;;;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.2, 0.7, 0.4, -0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.1, -0.5, -0.4, 0.8)_1.081002_System.String[];0.0000;-0.0060;-0.0164;80.7396;-84.9902;2.0925;2.0897;-75.4843;78.2221;4.1371;357.4243;271.9321;154.3566;5.1144;1.8409
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.9150;0.8875;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-1.3515;-1.5415;0.0000;0.0000;0.0000;233289;65.78207;Infinity;3208.54;80.3462;-84.3792;1.6626;1.6708;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.2, 0.7, 0.4, -0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.0520;-0.0060;-0.0164;80.7397;-84.9885;2.0456;2.0322;-75.4853;78.2212;4.1616;357.9741;271.7188;153.8569;5.2238;2.0451
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.8533;0.8179;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-1.7307;-1.9191;0.0000;0.0000;0.0000;233292;68.67338;Infinity;3208.58;80.3462;-84.3792;1.6065;1.6067;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.4, -0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.0938;-0.0060;-0.0164;80.7398;-84.9861;1.9895;1.9670;-75.4863;78.2197;4.1952;358.8515;271.4763;153.2472;5.2992;2.2919
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.7752;0.7320;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-2.1068;-2.2938;0.0000;0.0000;0.0000;233295;70.26103;Infinity;3208.63;80.3462;-84.3792;1.5340;1.5263;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.1353;-0.0060;-0.0164;80.7399;-84.9840;1.9169;1.8857;-75.4869;78.2183;4.2213;359.6756;271.2754;152.6581;5.3698;2.4506
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.6809;0.6299;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-2.4800;-2.6654;0.0000;0.0000;0.0000;233298;71.09441;Infinity;3208.67;80.3462;-84.3792;1.4452;1.4297;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.1770;-0.0060;-0.0164;80.7400;-84.9822;1.8281;1.7886;-75.4877;78.2172;4.2405;0.2797;271.1147;152.0550;5.4229;2.5288
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.5704;0.5117;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-2.8502;-3.0341;0.0000;0.0000;0.0000;233301;71.53728;Infinity;3208.71;80.3462;-84.3792;1.3402;1.3170;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.2188;-0.0060;-0.0164;80.7401;-84.9803;1.7231;1.6752;-75.4882;78.2163;4.2398;0.6846;270.9727;151.3874;5.4761;2.5531
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.4440;0.3776;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-3.2174;-3.3999;0.0000;0.0000;0.0000;233304;71.75645;Infinity;3208.75;80.3462;-84.3792;1.2191;1.1883;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.2603;-0.0060;-0.0164;80.7402;-84.9786;1.6020;1.5461;-75.4889;78.2159;4.2236;0.9858;270.8503;150.6882;5.5002;2.5536
-0.5195;-0.5469;False;False;80.8700;-85.2800;0.3017;0.2278;-75.1500;78.0400;0.0000;0.0000;270.0006;148.6622;0.0000;0.0000;0.0000;-3.5817;-3.7628;0.0000;0.0000;0.0000;233307;71.87827;Infinity;3208.79;80.3462;-84.3792;1.0822;1.0438;-75.9132;77.9167;352.6145;352.5038;259.9197;146.8422;1.3092;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.1, 0.1)_(0.7, 0.4, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.0)_(0.8, 0.4, -0.4, -0.1)_1.081002_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.1, 0.7, 0.5, -0.5)_1.000714_System.String[];HandRight_(0.4, 0.1, 0.1)_(0.0, -0.5, -0.4, 0.8)_1.081002_System.String[];0.3020;-0.0060;-0.0164;80.7403;-84.9772;1.4651;1.4013;-75.4894;78.2159;4.2046;1.2533;270.7505;149.8957;5.5150;2.5743
