0.4472;-0.1190;False;False; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;117954;72.00244;Infinity;1606.24;48.7729;-63.6843;0.5848;0.7449;-116.9372;0.4726;355.9231;352.4390;243.7415;66.3314;0.6656;0.6664;;;HandLeft_(0.3, 0.2, 0.1)_(0.8, 0.2, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.2, 0.1)_(0.8, 0.2, -0.5, 0.0)_1.081002_System.String[];HandRight_(0.5, 0.0, 0.2)_(-0.2, -0.7, -0.5, 0.5)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(0.0, -0.5, -0.6, 0.7)_1.081002_System.String[];13.6603;0.0698;0.0489;49.0534;-63.9207;1.0069;1.1334;-116.4163;0.0310;10.8674;5.7134;252.4503;72.7437;3.5979;5.3553
AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
-0.1786;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0007;305.8757;85.1925;0.2039;0.0000; ; ; ; ; ; ;119816;71.98468;Infinity;1632.18;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5045;295.7785;83.3725;1.4336;0.2375;;;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.7, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.0000;-0.0211;-0.0033;54.4315;-131.5413;1.1191;1.1409;-115.4249;-68.2265;10.3374;2.7813;306.8755;100.2145;5.7964;4.4107
-0.1786;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0006;305.8757;85.1929;0.2039;0.0000;0.0006;0.0000;0.0000;0.0000;0.0001;0.0000;119819;68.35618;Infinity;1632.23;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5044;295.7785;83.3728;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.7, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.0475;-0.0206;-0.0033;54.4315;-131.5412;1.1191;1.1410;-115.4249;-68.2273;10.2645;2.9058;306.8992;100.3690;5.7972;4.3187
-0.1786;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0008;305.8757;85.1926;0.2039;0.0000;-0.0014;0.0000;0.0000;0.0000;-0.0001;0.0000;119822;70.08732;Infinity;1632.27;53.8242;-131.1873;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5045;295.7785;83.3726;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.7, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.0891;-0.0202;-0.0033;54.4315;-131.5411;1.1191;1.1407;-115.4249;-68.2279;10.1939;3.0116;306.9163;100.4339;5.8015;4.2462
-0.1786;0.0000;False;False;54.7020;-131.7001;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0009;305.8757;85.1918;0.2039;0.0000;-0.0005;0.0000;0.0000;0.0000;0.0000;0.0000;119825;71.01281;Infinity;1632.31;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5047;295.7785;83.3720;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.1307;-0.0201;-0.0033;54.4315;-131.5411;1.1191;1.1405;-115.4250;-68.2282;10.1230;3.0999;306.9032;100.4681;5.8183;4.1481
-0.1825;0.0000;False;False;54.7020;-131.7001;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0008;305.8757;85.1905;0.2039;0.0000;-0.0001;0.0000;0.0000;0.0000;0.0000;0.0000;119828;71.48827;Infinity;1632.35;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5046;295.7785;83.3708;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.1725;-0.0199;-0.0033;54.4318;-131.5411;1.1190;1.1403;-115.4251;-68.2285;10.0649;3.1719;306.8646;100.5002;5.8446;4.0526
-0.1825;0.0000;False;False;54.7020;-131.7001;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0008;305.8757;85.1894;0.2039;0.0000;-0.0012;0.0000;0.0000;0.0000;-0.0001;0.0000;119831;71.74316;Infinity;1632.39;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5045;295.7785;83.3699;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.2141;-0.0199;-0.0033;54.4320;-131.5410;1.1190;1.1402;-115.4252;-68.2286;10.0050;3.1990;306.7995;100.5214;5.8567;3.9776
-0.1825;0.0000;False;False;54.7020;-131.7001;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0008;305.8757;85.1895;0.2039;0.0000;-0.0002;0.0000;0.0000;0.0000;0.0000;0.0000;119834;71.86663;Infinity;1632.43;53.8242;-131.1875;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5046;295.7785;83.3697;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, -0.1)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.2557;-0.0199;-0.0033;54.4322;-131.5411;1.1190;1.1402;-115.4253;-68.2287;9.9607;3.1993;306.7210;100.5345;5.8335;3.9358
-0.1825;0.0000;False;False;54.7020;-131.7001;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0008;305.8757;85.1906;0.2039;0.0000;-0.0009;0.0000;0.0000;0.0000;-0.0001;0.0000;119837;71.93305;Infinity;1632.48;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5045;295.7785;83.3703;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.2975;-0.0199;-0.0033;54.4323;-131.5411;1.1190;1.1401;-115.4253;-68.2288;9.9309;3.1824;306.6286;100.5414;5.7932;3.9231
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0005;305.8757;85.1910;0.2039;0.0000;0.0021;0.0000;0.0000;0.0000;0.0002;0.0000;119840;71.96368;Infinity;1632.52;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5044;295.7785;83.3709;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.1, -0.4, -0.4, 0.8)_1.081002_System.String[];0.3391;-0.0199;-0.0033;54.4323;-131.5414;1.1190;1.1400;-115.4253;-68.2289;9.9077;3.1183;306.5495;100.5367;5.7459;3.9328
-0.1825;0.0000;False;False;54.7020;-131.7000;0.0008;-0.0139;-115.2019;-68.6000;0.4409;0.0005;305.8757;85.1903;0.2039;0.0000;0.0003;0.0000;0.0000;0.0000;0.0000;0.0000;119843;71.9818;Infinity;1632.56;53.8242;-131.1874;0.7251;0.7501;-115.5121;-67.8491;353.0843;352.5042;295.7785;83.3705;1.4336;0.2375;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(0.3, 0.2, 0.1)_(0.7, 0.3, -0.6, 0.0)_1.000714_System.String[];HandLeft_(0.2, 0.1, 0.1)_(0.8, 0.4, -0.4, 0.2)_1.081002_System.String[];HandRight_(0.5, 0.2, 0.1)_(0.0, -0.7, -0.3, 0.7)_1.000714_System.String[];HandRight_(0.5, 0.1, 0.1)_(-0.2, -0.4, -0.4, 0.8)_1.081002_System.String[];0.3807;-0.0199;-0.0033;54.4324;-131.5416;1.1190;1.1400;-115.4254;-68.2289;9.8953;3.0614;306.5018;100.5079;5.7170;3.9205
