AccelA;AccelB;ButtonA;ButtonB;Car PositionXA;Car PositionXB;Car PositionYA;Car PositionYB;Car PositionZA;Car PositionZB;Car RotationXA;Car RotationXB;Car RotationYA;Car RotationYB;Car RotationZA;Car RotationZB;Car VelocityXB;Car VelocityYA;Car VelocityYB;Car VelocityZA;Car VelocityZB;CarVelocityXA;Frame Number;FrameRate ;FrameRate-XRDevice;GameTime;HeadPosXA;HeadPosXB;HeadPosYA;HeadPosYB;HeadPosZA;HeadPosZB;HeadrotXA;HeadrotXB;HeadrotYA;HeadrotYB;HeadrotZA;HeadrotZB;IndicatorsA;IndicatorsB;LeftHandA;LeftHandB;RightHandA;RightHandB;ScenarioTime;SteerA;SteerB;VRPosXA;VRPosXB;VRPosYA;VRPosYB;VRPosZA;VRPosZB;VRRotXA;VRRotXB;VRRotYA;VRRotYB;VRRotZA;VRRotZB
0.0000;0.0000;False;False;81.2388;79.6699;-0.0050;0.1061;-75.3998;87.9400;359.7764;0.0013;278.9333;241.9098;0.0114;-0.0001; ; ; ; ; ; ;371148;71.6757;Infinity;5121.52;81.1935;79.5660;1.1284;1.3242;-74.4383;87.4930;352.4042;352.5195;289.5167;245.9278;358.5967;359.4760;;;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.0000;-0.0220;-0.0676;81.2039;79.6765;1.0660;1.2097;-75.7961;87.5152;6.7245;358.6169;289.9392;255.1847;357.4796;0.1244
0.0000;0.0000;False;False;81.2388;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7765;0.0014;278.9333;241.9108;0.0114;-0.0001;0.0009;0.0000;0.0000;0.0002;0.0005;-0.0017;371151;67.90978;Infinity;5121.57;81.1935;79.5660;1.1284;1.3242;-74.4383;87.4930;352.4043;352.5196;289.5165;245.9285;358.5967;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.0479;-0.0220;-0.0676;81.2038;79.6762;1.0657;1.2092;-75.7959;87.5142;6.9536;358.5918;289.9721;254.7443;357.4604;0.3242
0.0000;0.0000;False;False;81.2388;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7766;0.0014;278.9334;241.9102;0.0114;-0.0001;0.0006;0.0000;0.0000;-0.0002;0.0004;0.0011;371154;69.85261;Infinity;5121.61;81.1936;79.5660;1.1284;1.3242;-74.4383;87.4930;352.4043;352.5197;289.5172;245.9284;358.5967;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.0894;-0.0220;-0.0676;81.2038;79.6759;1.0656;1.2091;-75.7958;87.5130;7.1068;358.5597;290.0212;254.1890;357.4218;0.5004
0.0000;0.0000;False;False;81.2388;79.6700;-0.0050;0.1061;-75.3998;87.9400;359.7764;0.0015;278.9328;241.9095;0.0114;-0.0001;0.0013;0.0000;0.0000;-0.0002;0.0008;0.0006;371157;70.76601;Infinity;5121.65;81.1936;79.5660;1.1284;1.3242;-74.4383;87.4931;352.4042;352.5197;289.5164;245.9276;358.5967;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.1313;-0.0220;-0.0676;81.2038;79.6759;1.0655;1.2090;-75.7958;87.5119;7.2199;358.5623;290.1439;253.5074;357.3795;0.6689
0.0000;0.0000;False;False;81.2389;79.6700;-0.0050;0.1061;-75.3999;87.9400;359.7766;0.0016;278.9333;241.9107;0.0114;0.0000;0.0008;0.0000;0.0000;-0.0004;0.0005;0.0020;371160;71.36673;Infinity;5121.70;81.1936;79.5660;1.1284;1.3242;-74.4383;87.4931;352.4044;352.5198;289.5167;245.9282;358.5967;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.6, 0.5, -0.5, 0.2)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.1729;-0.0220;-0.0676;81.2040;79.6760;1.0654;1.2089;-75.7953;87.5106;7.3085;358.5995;290.3677;252.7313;357.3547;0.8345
0.0000;0.0000;False;False;81.2390;79.6700;-0.0050;0.1061;-75.3999;87.9400;359.7769;0.0014;278.9334;241.9110;0.0114;-0.0001;0.0009;0.0000;0.0000;-0.0005;0.0005;0.0032;371163;70.88213;Infinity;5121.74;81.1937;79.5660;1.1284;1.3242;-74.4383;87.4931;352.4046;352.5197;289.5168;245.9286;358.5968;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.2153;-0.0220;-0.0676;81.2043;79.6759;1.0654;1.2089;-75.7950;87.5093;7.3736;358.6455;290.6830;251.9566;357.3414;0.9637
0.0000;0.0000;False;False;81.2392;79.6700;-0.0050;0.1061;-75.3999;87.9400;359.7770;0.0013;278.9333;241.9105;0.0114;-0.0001;0.0007;0.0000;0.0000;-0.0004;0.0004;0.0025;371166;71.23775;Infinity;5121.78;81.1939;79.5660;1.1284;1.3242;-74.4383;87.4931;352.4048;352.5195;289.5164;245.9287;358.5968;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.2573;-0.0220;-0.0676;81.2050;79.6760;1.0653;1.2086;-75.7945;87.5081;7.4281;358.6834;291.0110;251.1524;357.3193;1.0556
0.0000;0.0000;False;False;81.2393;79.6700;-0.0050;0.1061;-75.3999;87.9400;359.7768;0.0012;278.9342;241.9094;0.0114;-0.0001;0.0001;0.0000;0.0000;-0.0005;0.0001;0.0028;371169;71.30854;Infinity;5121.82;81.1940;79.5660;1.1284;1.3242;-74.4383;87.4931;352.4047;352.5195;289.5173;245.9280;358.5968;359.4759;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.2)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.2993;-0.0220;-0.0676;81.2056;79.6763;1.0652;1.2083;-75.7939;87.5067;7.4308;358.7298;291.3361;250.2242;357.2978;1.1152
0.0000;0.0000;False;False;81.2394;79.6700;-0.0050;0.1061;-75.3999;87.9400;359.7768;0.0012;278.9337;241.9073;0.0114;-0.0001;0.0002;0.0000;0.0000;-0.0005;0.0001;0.0031;371172;71.36518;Infinity;5121.86;81.1941;79.5660;1.1284;1.3242;-74.4383;87.4931;352.4046;352.5195;289.5170;245.9259;358.5968;359.4759;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.3413;-0.0220;-0.0676;81.2061;79.6767;1.0652;1.2081;-75.7934;87.5054;7.4140;358.7685;291.5861;249.2276;357.2556;1.1254
0.0000;0.0000;False;False;81.2395;79.6700;-0.0050;0.1061;-75.3999;87.9400;359.7767;0.0013;278.9344;241.9066;0.0114;-0.0001;-0.0013;0.0000;0.0000;-0.0006;-0.0008;0.0039;371175;71.34999;Infinity;5121.91;81.1942;79.5661;1.1284;1.3242;-74.4384;87.4931;352.4045;352.5196;289.5179;245.9247;358.5968;359.4760;LeftFalse_RightFalse;LeftFalse_RightFalse;HandLeft_(-1.5, -0.3, 0.0)_(0.6, 0.4, -0.7, -0.2)_1.025066_System.String[];HandLeft_(-0.2, -0.4, -0.1)_(0.7, 0.5, -0.5, 0.1)_0.987276_System.String[];HandRight_(-1.2, -0.3, 0.0)_(0.1, -0.6, -0.4, 0.7)_1.025066_System.String[];HandRight_(0.1, -0.4, -0.2)_(0.1, -0.4, -0.4, 0.8)_0.987276_System.String[];0.3833;-0.0220;-0.0676;81.2068;79.6770;1.0651;1.2080;-75.7929;87.5045;7.4262;358.7751;291.7497;248.3917;357.1838;1.0893
